id,name,link,pic_url,location,rating,count
1,洪家雞肉飯,https://www.foodpanda.com.tw/restaurant/n3mr/hong-jia-ji-rou-fan,https://images.deliveryhero.io/image/fd-tw/LH/n3mr-listing.jpg,(△)彰化縣彰化市南郭路一段188號,4.5,558
2,七悅雨,https://www.foodpanda.com.tw/restaurant/c7ph/qi-yue-yu,https://images.deliveryhero.io/image/fd-tw/LH/c7ph-listing.jpg,(△)彰化縣彰化市中正路一段281號,4.8,15
3,曲肯叔叔美式炸雞店 (永樂店),https://www.foodpanda.com.tw/restaurant/f8qn/qu-ken-shu-shu-mei-shi-zha-ji-dian-yong-le-dian,https://images.deliveryhero.io/image/fd-tw/LH/f8qn-listing.jpg,(△)彰化縣彰化市永樂街227號,4.6,348
4,九龍廣東粥永安店,https://www.foodpanda.com.tw/restaurant/f9lb/f9lb,https://images.deliveryhero.io/image/fd-tw/LH/f9lb-listing.jpg,(△)彰化縣彰化市民生里永安街157號,4.6,396
5,老滷仙 (彰化三民店),https://www.foodpanda.com.tw/restaurant/p1ua/lao-lu-xian-zhang-hua-san-min-dian,https://images.deliveryhero.io/image/fd-tw/LH/p1ua-listing.jpg,(△)彰化縣彰化市三民路60號,4.6,275
6,圓稼嚼感奶茶,https://www.foodpanda.com.tw/chain/cy4tz/yuan-jia-jiao-gan-nai-cha,https://images.deliveryhero.io/image/fd-tw/LH/m0do-listing.jpg,(O) 台中市南屯區忠勇路80-24號,4.8,437
7,晨香晨食館,https://www.foodpanda.com.tw/restaurant/z6db/chen-xiang-chen-shi-guan,https://images.deliveryhero.io/image/fd-tw/LH/z6db-listing.jpg,(△) 彰化縣彰化市長順街36號,4.7,952
8,地6攤牛排 (彰化三民店),https://www.foodpanda.com.tw/restaurant/b2ze/-6--1,https://images.deliveryhero.io/image/fd-tw/LH/b2ze-listing.jpg,(△) 彰化縣彰化市三民路347號,4.7,463
9,悟饕池上飯包 (彰化彰基店),https://www.foodpanda.com.tw/restaurant/q1co/wu-tao-chi-shang-fan-bao-zhang-hua-zhang-ji-dian,https://images.deliveryhero.io/image/fd-tw/LH/q1co-listing.jpg,(△)彰化縣彰化市南校街77號1樓,4.5,119
10,歐爸小火鍋,https://www.foodpanda.com.tw/restaurant/d9sc/ou-ba-xiao-huo-guo,https://images.deliveryhero.io/image/fd-tw/LH/d9sc-listing.jpg,(△) 彰化縣彰化市民生路53號,4.4,108
11,炳叔烤玉米 (彰化彰新店),https://www.foodpanda.com.tw/restaurant/b2ta/bing-shu-kao-yu-mi-zhang-hua-zhang-xin-dian,https://images.deliveryhero.io/image/fd-tw/LH/b2ta-listing.jpg,(△) 彰化縣彰化市彰新路一段138巷123號,4.7,215
12,享司妳碳烤三明治,https://www.foodpanda.com.tw/restaurant/a6zo/xiang-si-nai-tan-kao-san-ming-zhi,https://images.deliveryhero.io/image/fd-tw/LH/a6zo-listing.jpg,(△) 彰化縣彰化市民族路339號,4.7,142
13,幸福創意三明治,https://www.foodpanda.com.tw/restaurant/i4ea/xing-fu-chuang-yi-san-ming-zhi,https://images.deliveryhero.io/image/fd-tw/LH/i4ea-listing.jpg,(△)彰化縣彰化市永安街187號,4.8,48
14,耐肯專業炸雞 (彰化長順店),https://www.foodpanda.com.tw/restaurant/j2eb/nai-ken-zhuan-ye-zha-ji-zhang-hua-chang-shun-dian,https://images.deliveryhero.io/image/fd-tw/LH/j2eb-listing.jpg,(△)彰化縣彰化市長順街148號,4.6,66
15,風船章魚燒,https://www.foodpanda.com.tw/chain/cx5hg/feng-chuan-zhang-yu-shao,https://images.deliveryhero.io/image/fd-tw/LH/o9zg-listing.jpg,(△)台南市新市區華興街85號,4.6,192
16,滿杯 (彰化彰基店),https://www.foodpanda.com.tw/restaurant/l9tc/man-bei-zhang-hua-zhang-ji-dian,https://images.deliveryhero.io/image/fd-tw/LH/l9tc-listing.jpg,(△)彰化縣彰化市南校街122號,4.8,55
17,小時候小管麵線,https://www.foodpanda.com.tw/restaurant/e9cu/xiao-shi-hou-xiao-guan-mian-xian,https://images.deliveryhero.io/image/fd-tw/LH/e9cu-listing.jpg,(△) 彰化縣彰化市民權路二四七巷36號,4.7,622
18,蘇記台南小吃,https://www.foodpanda.com.tw/restaurant/j5do/j5do,https://images.deliveryhero.io/image/fd-tw/LH/j5do-listing.jpg,(△) 彰化縣彰化市中正路一段290號,4.4,286
19,72度c舒肥健康餐,https://www.foodpanda.com.tw/chain/cd6qp/72du-cshu-fei-jian-kang-can,https://images.deliveryhero.io/image/fd-tw/LH/m4im-listing.jpg,(△) 台中市西區民生路151號,4.8,249
20,飯最吉糰,https://www.foodpanda.com.tw/restaurant/v3jo/fan-zui-ji-tuan,https://images.deliveryhero.io/image/fd-tw/LH/v3jo-listing.jpg,(△)彰化縣彰化市永樂街167號,4.7,275
