id,name,link,pic_url,location,rating,count
1,黃家牛肉麵/水餃/飯,https://www.foodpanda.com.tw/restaurant/f3hs/huang-jia-niu-rou-mian-shui-jiao-fan,https://images.deliveryhero.io/image/fd-tw/LH/f3hs-listing.jpg,(△)嘉義縣太保市中山路二段46號,4.5,316
2,超神鮮 (嘉義麻太店),https://www.foodpanda.com.tw/restaurant/f2fc/chao-shen-xian-jia-yi-ma-tai-dian,https://images.deliveryhero.io/image/fd-tw/LH/f2fc-listing.jpg,(△) 嘉義縣太保市中山路一段295號前,4.7,64
3,加麵食堂日式拉麵,https://www.foodpanda.com.tw/restaurant/e2kl/jia-mian-shi-tang-ri-shi-la-mian,https://images.deliveryhero.io/image/fd-tw/LH/e2kl-listing.jpg,(△) 嘉義縣太保市麻寮里中山路二段59-2號,4.4,106
4,登豐美食,https://www.foodpanda.com.tw/restaurant/c9ju/deng-feng-mei-shi,https://images.deliveryhero.io/image/fd-tw/LH/c9ju-listing.jpg,(△)嘉義縣水上鄉水頭村正義路117號,4.3,44
5,小山日式方塊燒,https://www.foodpanda.com.tw/restaurant/f3zu/xiao-shan-ri-shi-fang-kuai-shao,https://images.deliveryhero.io/image/fd-tw/LH/f3zu-listing.jpg,(△) 嘉義縣太保市中山路二段94號,4.9,53
6,四海遊龍 (太保南新店),https://www.foodpanda.com.tw/restaurant/e8od/si-hai-you-long-tai-bao-nan-xin-dian,https://images.deliveryhero.io/image/fd-tw/LH/e8od-listing.jpg,(O) 嘉義縣太保市中山路一段249號,4.8,453
7,辛鮮串串,https://www.foodpanda.com.tw/chain/cv2pe/xin-xian-chuan-chuan,https://images.deliveryhero.io/image/fd-tw/LH/f4er-listing.jpg,(△)嘉義縣太保市麻太路11號,4.7,221
8,吳記排骨酥 (太保麻魚寮店),https://www.foodpanda.com.tw/restaurant/f9gs/wu-ji-pai-gu-su-tai-bao-ma-yu-liao-dian,https://images.deliveryhero.io/image/fd-tw/LH/f9gs-listing.jpg,(△) 嘉義縣太保市中山路二段250號,4.6,29
9,早安山丘 (嘉義麻魚寮店),https://www.foodpanda.com.tw/restaurant/e4wg/zao-an-shan-qiu-jia-yi-ma-yu-liao-dian,https://images.deliveryhero.io/image/fd-tw/LH/e4wg-listing.jpg,(△) 嘉義縣太保市麻寮里中山路二段181號,4.7,371
10,茶阪熊,https://www.foodpanda.com.tw/restaurant/f5kt/cha-ban-xiong,https://images.deliveryhero.io/image/fd-tw/LH/f5kt-listing.jpg,嘉義縣太保市中山路2段31-8號,4.8,258
11,昌平炸雞王,https://www.foodpanda.com.tw/chain/ca1zt/chang-ping-zha-ji-wang,https://images.deliveryhero.io/image/fd-tw/LH/t4rp-listing.jpg,(△)屏東縣東港鎮中正路一段205號,4.7,88
12,全方位生活冷飲館 (嘉義水上店),https://www.foodpanda.com.tw/restaurant/p28v/quan-fang-wei-sheng-huo-leng-yin-guan-jia-yi-shui-shang-dian,https://images.deliveryhero.io/image/fd-tw/LH/p28v-listing.jpg,(△)嘉義縣水上鄉市政街58號,4.5,5
13,清霖茶莊,https://www.foodpanda.com.tw/chain/cb8ce/qing-lin-cha-zhuang,https://images.deliveryhero.io/image/fd-tw/LH/e1fo-listing.jpg,(△) 嘉義縣朴子市海通路19-1號,4.8,324
14,黑棟當歸鴨,https://www.foodpanda.com.tw/chain/cw1zo/hei-dong-dang-gui-ya,https://images.deliveryhero.io/image/fd-tw/LH/o6vx-listing.jpg,(△) 嘉義市西區興雅路81號,4.7,119
15,春紀本家 (嘉義太保店),https://www.foodpanda.com.tw/restaurant/j3ac/chun-ji-ben-jia-jia-yi-tai-bao-dian,https://images.deliveryhero.io/image/fd-tw/LH/j3ac-listing.jpg,(△)嘉義縣太保市三合路482號,4.7,80
16,水上魚湯,https://www.foodpanda.com.tw/restaurant/em6t/shui-shang-yu-tang,https://images.deliveryhero.io/image/fd-tw/LH/em6t-listing.jpg,(△)嘉義縣水上鄉水頭村第11鄰市政街42號,NA,0
17,清原芋圓,https://www.foodpanda.com.tw/chain/cx7gk/qing-yuan-yu-yuan,https://images.deliveryhero.io/image/fd-tw/LH/f6wo-listing.jpg,(O) 雲林縣虎尾鎮中正路165號,4.7,284
18,億客倈鹽酥雞,https://www.foodpanda.com.tw/restaurant/f9ym/f9ym,https://images.deliveryhero.io/image/fd-tw/LH/f9ym-listing.jpg,(△)嘉義縣太保市中山路二段186號,4.5,307
19,新紅吉牛排館,https://www.foodpanda.com.tw/restaurant/e4pg/xin-hong-ji-niu-pai-guan,https://images.deliveryhero.io/image/fd-tw/LH/e4pg-listing.jpg,(△) 嘉義縣朴子市文明路113號,4.7,394
20,水上口阿香臭豆腐,https://www.foodpanda.com.tw/restaurant/v6wk/shui-shang-kou-a-xiang-chou-dou-fu,https://images.deliveryhero.io/image/fd-tw/LH/v6wk-listing.jpg,(△)嘉義縣水上鄉正義路172號,4.6,113
21,不吃不可鹹水雞,https://www.foodpanda.com.tw/chain/cw2ib/bu-chi-bu-ke-xian-shui-ji,https://images.deliveryhero.io/image/fd-tw/LH/t7yi-listing.jpg,(△)桃園市大溪區慈湖路21號,5,1
22,享。食 雞蛋糕,https://www.foodpanda.com.tw/restaurant/h8jw/xiang-shi-ji-dan-gao,https://images.deliveryhero.io/image/fd-tw/LH/h8jw-listing.jpg,(△)嘉義縣太保市麻寮里合德新村中山路二段3號,4.6,26
23,就是果汁,https://www.foodpanda.com.tw/chain/cm5mc/jiu-shi-guo-zhi,https://images.deliveryhero.io/image/fd-tw/LH/e4er-listing.jpg,(△) 嘉義縣民雄鄉福樂村埤角191號,4.4,29
24,小辣妹豬血糕,https://www.foodpanda.com.tw/restaurant/f4dp/f4dp,https://images.deliveryhero.io/image/fd-tw/LH/f4dp-listing.jpg,(△)嘉義縣太保市中山路二段250號(古恩宮旁),4.2,25
