id,name,link,pic_url,location,rating,count
1,紅牛牛排 (新竹總店),https://www.foodpanda.com.tw/restaurant/r9oz/hong-niu-niu-pai-xin-zhu-zong-dian,https://images.deliveryhero.io/image/fd-tw/LH/r9oz-listing.jpg,(△)新竹市東區花園街97巷1號,4.7,161
2,那家咖啡館,https://www.foodpanda.com.tw/restaurant/z1lu/na-jia-ka-pei-guan-1,https://images.deliveryhero.io/image/fd-tw/LH/z1lu-listing.jpg,(O) 新竹市北區西大路465號,4.6,65
3,ART TREE藝樹,https://www.foodpanda.com.tw/restaurant/y7lc/art-tree-,https://images.deliveryhero.io/image/fd-tw/LH/y7lc-listing.jpg,(△) 新竹市東區東大路一段37號,4.6,150
4,懷念古早味燉品屋,https://www.foodpanda.com.tw/restaurant/f9hq/f9hq,https://images.deliveryhero.io/image/fd-tw/LH/f9hq-listing.jpg,(O)新竹市北區西大路375號,4.5,561
5,湯明茶樓,https://www.foodpanda.com.tw/restaurant/a6tt/tang-ming-cha-lou,https://images.deliveryhero.io/image/fd-tw/LH/a6tt-listing.jpg,(△) 新竹市東區林森路229巷1弄13號 (食安登錄字號:O-172894437-00000-6),4.6,63
6,小師父廣東粥,https://www.foodpanda.com.tw/restaurant/v8kr/xiao-shi-fu-guang-dong-zhou,https://images.deliveryhero.io/image/fd-tw/LH/v8kr-listing.jpg,(△)新竹市東區南大路450號,5,6
7,維珍特健康素食餐廳,https://www.foodpanda.com.tw/restaurant/i0ki/wei-zhen-te-jian-kang-su-shi-can-ting,https://images.deliveryhero.io/image/fd-tw/LH/i0ki-listing.jpg,(O)新竹市東區西大路388號2樓,4.6,113
8,北門雞絲飯,https://www.foodpanda.com.tw/restaurant/y2hq/bei-men-ji-si-fan,https://images.deliveryhero.io/image/fd-tw/LH/y2hq-listing.jpg,(△) 新竹市東區北門街26號,4.5,818
9,精食巧海苔飯卷 (新竹寶山店),https://www.foodpanda.com.tw/restaurant/z0jh/jing-shi-qiao-hai-tai-fan-juan-xin-zhu-bao-shan-dian,https://images.deliveryhero.io/image/fd-tw/LH/z0jh-listing.jpg,(△) 新竹市東區寶山路46號 (食安登錄字號:O-200149085-00000-0),4.7,1179
10,軒韻手作茶飲,https://www.foodpanda.com.tw/chain/ct6bg/xuan-yun-shou-zuo-cha-yin,https://images.deliveryhero.io/image/fd-tw/LH/j9vj-listing.jpg,(△)台南市南區新興路521號,4.5,204
11,阿力雞排 (新竹南大店),https://www.foodpanda.com.tw/restaurant/c2ej/a-li-ji-pai-xin-zhu-nan-da-dian,https://images.deliveryhero.io/image/fd-tw/LH/c2ej-listing.jpg,(△)新竹市東區南大路390號,4.4,232
12,九慕手烘咖啡專門店,https://www.foodpanda.com.tw/restaurant/v9wz/jiu-mu-shou-hong-ka-pei-zhuan-men-dian,https://images.deliveryhero.io/image/fd-tw/LH/v9wz-listing.jpg,(O)新竹市東區中正路86號,4.8,90
13,陽光活力早午餐,https://www.foodpanda.com.tw/restaurant/d3yk/yang-guang-huo-li-zao-wu-can,https://images.deliveryhero.io/image/fd-tw/LH/d3yk-listing.jpg,(△) 新竹市東區東大路一段21巷2號,4.6,573
