id,name,link,pic_url,location,rating,count
1,猿黑堂黑糖粉圓鮮奶,https://www.foodpanda.com.tw/restaurant/j2rb/yuan-hei-tang-hei-tang-fen-yuan-xian-nai,https://images.deliveryhero.io/image/fd-tw/LH/j2rb-listing.jpg,(△)花蓮縣吉安鄉海岸路242-1號,4.6,176
2,金金雞蛋糕,https://www.foodpanda.com.tw/restaurant/bj3l/jin-jin-ji-dan-gao,https://images.deliveryhero.io/image/fd-tw/LH/bj3l-listing.jpg,(△)花蓮縣花蓮市廣東街148號,3,1
3,八大户燒烤,https://www.foodpanda.com.tw/restaurant/e6uy/ba-da-hu-shao-kao,https://images.deliveryhero.io/image/fd-tw/LH/e6uy-listing.jpg,(△) 花蓮縣花蓮市福建街301號,4.5,39
4,給點麵子,https://www.foodpanda.com.tw/restaurant/b4mv/gei-dian-mian-zi,https://images.deliveryhero.io/image/fd-tw/LH/b4mv-listing.jpg,(△) 花蓮縣花蓮市重慶路221號,4.5,786
5,叉子義大利麵,https://www.foodpanda.com.tw/restaurant/e1fp/cha-zi-yi-da-li-mian,https://images.deliveryhero.io/image/fd-tw/LH/e1fp-listing.jpg,(△) 花蓮縣花蓮市中華路423號,4.4,339
6,元氣早餐店 (花蓮自強店),https://www.foodpanda.com.tw/restaurant/d3qg/yuan-qi-zao-can-dian-hua-lian-zi-qiang-dian,https://images.deliveryhero.io/image/fd-tw/LH/d3qg-listing.jpg,(△) 花蓮縣吉安鄉自強路525號,4.4,75
7,吮指王 (花蓮建國店),https://www.foodpanda.com.tw/restaurant/b2rr/shun-zhi-wang-hua-lian-jian-guo-dian,https://images.deliveryhero.io/image/fd-tw/LH/b2rr-listing.jpg,(△) 花蓮縣吉安鄉建國路一段97號,4.6,1430
8,肥浣熊章魚燒.甜甜圈,https://www.foodpanda.com.tw/restaurant/i7tf/fei-wan-xiong-zhang-yu-shao-tian-tian-quan,https://images.deliveryhero.io/image/fd-tw/LH/i7tf-listing.jpg,(△)花蓮縣花蓮市和平路392號,4.6,314
9,來來牛排 ,https://www.foodpanda.com.tw/chain/cd9bn/lai-lai-niu-pai,https://images.deliveryhero.io/image/fd-tw/LH/d4mg-listing.jpg,(O)台東縣台東市新生路268之3號,4.7,668
10,拉亞漢堡,https://www.foodpanda.com.tw/chain/ci9vc/la-ya-han-bao,https://images.deliveryhero.io/image/fd-tw/LH/n7zk-listing.jpg,(△) 台中市北屯區東山路一段125-1號,4.7,280
11,TOP烘焙房,https://www.foodpanda.com.tw/restaurant/b1zq/tophong-bei-fang,https://images.deliveryhero.io/image/fd-tw/LH/b1zq-listing.jpg,(O) 花蓮縣吉安鄉中華路二段33號,4.7,268
12,吖咕雞,https://www.foodpanda.com.tw/restaurant/b8tx/a-gu-ji,https://images.deliveryhero.io/image/fd-tw/LH/b8tx-listing.jpg,(△) 花蓮縣花蓮市中正路331號,4.6,1546
13,焗的飽義大利麵.比薩,https://www.foodpanda.com.tw/restaurant/q6ev/ju-de-bao-yi-da-li-mian-bi-sa,https://images.deliveryhero.io/image/fd-tw/LH/q6ev-listing.jpg,(△)花蓮縣吉安鄉中原路一段247號,4.4,474
14,女王蔬食,https://www.foodpanda.com.tw/restaurant/p2f7/nu-wang-shu-shi,https://images.deliveryhero.io/image/fd-tw/LH/p2f7-listing.jpg,(△)花蓮縣花蓮市建國路二段702號,4.7,5
15,頂好香滷味 (花蓮吉安店),https://www.foodpanda.com.tw/restaurant/e8jo/ding-hao-xiang-lu-wei-hua-lian-ji-an-dian,https://images.deliveryhero.io/image/fd-tw/LH/e8jo-listing.jpg,(△) 花蓮縣吉安鄉自強路474號,4.4,306
16,歐兜賣雞蛋糕,https://www.foodpanda.com.tw/restaurant/e5cj/ou-dou-mai-ji-dan-gao,https://images.deliveryhero.io/image/fd-tw/LH/e5cj-listing.jpg,(△) 花蓮縣花蓮市民國路7號,4.8,430
17,辣媽食坊,https://www.foodpanda.com.tw/restaurant/j2ja/la-ma-shi-fang,https://images.deliveryhero.io/image/fd-tw/LH/j2ja-listing.jpg,(△)花蓮縣吉安鄉慶北三街459號,4.4,149
18,問咖哩,https://www.foodpanda.com.tw/restaurant/p0cm/wen-ka-li,https://images.deliveryhero.io/image/fd-tw/LH/p0cm-listing.jpg,(△)花蓮縣花蓮市榮正街216號,4.7,57
19,嘎嘎章魚燒,https://www.foodpanda.com.tw/restaurant/h0mb/ga-ga-zhang-yu-shao,https://images.deliveryhero.io/image/fd-tw/LH/h0mb-listing.jpg,(△)花蓮縣吉安鄉東海十三街77號,4,4
20,萬佳鄉 (花蓮和平店),https://www.foodpanda.com.tw/restaurant/r7mh/wan-jia-xiang-hua-lian-he-ping-dian,https://images.deliveryhero.io/image/fd-tw/LH/r7mh-listing.jpg,(△)花蓮縣吉安鄉和平路一段53號,4.7,309
21,鐵板平價牛排,https://www.foodpanda.com.tw/restaurant/d0rm/tie-ban-ping-jia-niu-pai,https://images.deliveryhero.io/image/fd-tw/LH/d0rm-listing.jpg,(△) 花蓮縣花蓮市中正路358號,4.6,785
22,吉yoshi,https://www.foodpanda.com.tw/restaurant/k1ta/ji-yoshi,https://images.deliveryhero.io/image/fd-tw/LH/k1ta-listing.jpg,(△)花蓮縣花蓮市中正路302號,3.8,64
23,幽靈餐車,https://www.foodpanda.com.tw/restaurant/f2ip/f2ip,https://images.deliveryhero.io/image/fd-tw/LH/f2ip-listing.jpg,(△)花蓮縣吉安鄉建國路一段162號,4.7,515
24,七嘴八舌滷味 ,https://www.foodpanda.com.tw/chain/cp4kj/qi-zui-ba-she-lu-wei,https://images.deliveryhero.io/image/fd-tw/LH/b2xx-listing.jpg,(△)新北市淡水區水源街二段74巷2號,4.6,533
25,美樂福&寶島紅茶冰,https://www.foodpanda.com.tw/restaurant/r4nu/mei-le-fu-andbao-dao-hong-cha-bing,https://images.deliveryhero.io/image/fd-tw/LH/r4nu-listing.jpg,(△)花蓮縣吉安鄉中正路一段68號,4.8,125
26,大埔鐵板燒,https://www.foodpanda.com.tw/restaurant/r5df/r5df,https://images.deliveryhero.io/image/fd-tw/LH/r5df-listing.jpg,(O)花蓮縣花蓮市中正路123號,4.4,298
27,幸福早一點點 (早餐&早午餐),https://www.foodpanda.com.tw/restaurant/b7io/xing-fu-zao-dian-dian-zao-can-andzao-wu-can,https://images.deliveryhero.io/image/fd-tw/LH/b7io-listing.jpg,(△) 花蓮縣花蓮市重慶路163號,4.6,378
28,小胖玉里麵&永貞新村紅茶冰雞蛋糕,https://www.foodpanda.com.tw/restaurant/c2tn/xiao-pang-yu-li-mian-andyong-zhen-xin-cun-hong-cha-bing-ji-dan-gao,https://images.deliveryhero.io/image/fd-tw/LH/c2tn-listing.jpg,(△)花蓮縣花蓮市林森路161號,4.7,310
29,絕世炸雞 (吉安慶豐店),https://www.foodpanda.com.tw/restaurant/o4hz/jue-shi-zha-ji-ji-an-qing-feng-dian,https://images.deliveryhero.io/image/fd-tw/LH/o4hz-listing.jpg,(△)花蓮縣吉安鄉吉安路二段319號,5,2
30,巷弄內的牛肉麵館,https://www.foodpanda.com.tw/restaurant/g2ie/xiang-nong-nei-de-niu-rou-mian-guan,https://images.deliveryhero.io/image/fd-tw/LH/g2ie-listing.jpg,(△)花蓮縣吉安鄉中正路一段151號,4.3,50
31,泰愛餅,https://www.foodpanda.com.tw/restaurant/f1hh/tai-ai-bing,https://images.deliveryhero.io/image/fd-tw/LH/f1hh-listing.jpg,(△)花蓮縣吉安鄉中正路一段151號,4.7,158
32,徐媽媽蔥油餅 (花蓮南昌店),https://www.foodpanda.com.tw/restaurant/a3ff/xu-ma-ma-cong-you-bing-hua-lian-nan-chang-dian,https://images.deliveryhero.io/image/fd-tw/LH/a3ff-listing.jpg,(△) 花蓮縣吉安鄉中山路二段52號,4.7,476
33,歐圖咖啡早午餐 (花蓮太昌店),https://www.foodpanda.com.tw/restaurant/d6hc/ou-tu-ka-pei-zao-wu-can-hua-lian-tai-chang-dian,https://images.deliveryhero.io/image/fd-tw/LH/d6hc-listing.jpg,(△) 花蓮縣吉安鄉建國路二段237號,4.7,820
34,오빠小食堂,https://www.foodpanda.com.tw/restaurant/tuzm/obbaxiao-shi-tang,https://images.deliveryhero.io/image/fd-tw/LH/tuzm-listing.jpg,(△) 花蓮縣吉安鄉中正路一段151號,4.6,75
35,萃搭茶飲專賣店 (花蓮仁里店),https://www.foodpanda.com.tw/restaurant/b9wj/cui-da-cha-yin-zhuan-mai-dian-hua-lian-ren-li-dian,https://images.deliveryhero.io/image/fd-tw/LH/b9wj-listing.jpg,(△) 花蓮縣吉安鄉中正路一段12號,4.8,719
36,屋台丼飯,https://www.foodpanda.com.tw/restaurant/h4mm/wu-tai-jing-fan,https://images.deliveryhero.io/image/fd-tw/LH/h4mm-listing.jpg,(△)花蓮縣吉安鄉吉祥四街19號對面,4.6,351
37,樂活便當,https://www.foodpanda.com.tw/restaurant/r7mk/le-huo-bian-dang,https://images.deliveryhero.io/image/fd-tw/LH/r7mk-listing.jpg,(△)花蓮縣花蓮市和平路506號,4.5,194
38,恩恩章魚燒,https://www.foodpanda.com.tw/restaurant/j7lk/en-en-zhang-yu-shao,https://images.deliveryhero.io/image/fd-tw/LH/j7lk-listing.jpg,(△) 花蓮縣吉安鄉宜昌五街17號,4.3,49
39,萬佳鄉早餐 (花蓮騏福店),https://www.foodpanda.com.tw/restaurant/x7im/wan-jia-xiang-zao-can-hua-lian-qi-fu-dian,https://images.deliveryhero.io/image/fd-tw/LH/x7im-listing.jpg,(△)花蓮縣花蓮市福建街一號,4.6,193
40,9453無菜單料理,https://www.foodpanda.com.tw/restaurant/p3au/9453wu-cai-dan-liao-li,https://images.deliveryhero.io/image/fd-tw/LH/p3au-listing.jpg,(△)花蓮縣吉安鄉吉興路一段110號,4.5,64
41,御品皇茶 (花蓮民國店),https://www.foodpanda.com.tw/restaurant/b5ho/yu-pin-huang-cha-hua-lian-min-guo-dian,https://images.deliveryhero.io/image/fd-tw/LH/b5ho-listing.jpg,(△) 花蓮縣花蓮市民國路8號,4.6,121
42,鍋燒MEN,https://www.foodpanda.com.tw/restaurant/v533/guo-shao-men,https://images.deliveryhero.io/image/fd-tw/LH/v533-listing.jpg,(△)花蓮縣吉安鄉中正路一段151號,NA,0
43,慈惠素食,https://www.foodpanda.com.tw/restaurant/d6hx/ci-hui-su-shi,https://images.deliveryhero.io/image/fd-tw/LH/d6hx-listing.jpg,(△) 花蓮縣吉安鄉自強路63號 食品業者登錄字號:U-200136252-00000-8,4.7,1273
44,33小食館,https://www.foodpanda.com.tw/restaurant/h8rx/33xiao-shi-guan,https://images.deliveryhero.io/image/fd-tw/LH/h8rx-listing.jpg,(△)花蓮縣花蓮市仁和街30巷48號,4.4,337
45,華廈美而美 (花蓮宜昌直營門市),https://www.foodpanda.com.tw/restaurant/f1uo/f1uo,https://images.deliveryhero.io/image/fd-tw/LH/f1uo-listing.jpg,(△)花蓮縣吉安鄉南昌村中山路二段61號,4.3,235
46,麥町吐司工房,https://www.foodpanda.com.tw/chain/cz8pa/mai-ting-tu-si-gong-fang,https://images.deliveryhero.io/image/fd-tw/LH/q3io-listing.jpg,(△) 台中市北屯區瀋陽路三段77號,4.7,494
47,老先覺,https://www.foodpanda.com.tw/chain/cw8kf/lao-xian-jue,https://images.deliveryhero.io/image/fd-tw/LH/e9og-listing.jpg,(△)高雄市旗山區延平一路182號,4.6,749
48,阿亮雞排 (花蓮海岸店),https://www.foodpanda.com.tw/restaurant/e7sy/a-liang-ji-pai-hua-lian-hai-an-dian,https://images.deliveryhero.io/image/fd-tw/LH/e7sy-listing.jpg,(△) 花蓮縣吉安鄉海岸路306號,4.6,436
49,旬壽司日本料理亭,https://www.foodpanda.com.tw/restaurant/d8zj/xun-shou-si-ri-ben-liao-li-ting,https://images.deliveryhero.io/image/fd-tw/LH/d8zj-listing.jpg,(O) 花蓮縣吉安鄉建國路一段220號,4.6,1006
50,豐田劉記,https://www.foodpanda.com.tw/restaurant/b6eg/feng-tian-liu-ji,https://images.deliveryhero.io/image/fd-tw/LH/b6eg-listing.jpg,(△) 花蓮縣花蓮市民國路4號,4.7,1273
51,桶一天下 (花蓮吉安店),https://www.foodpanda.com.tw/restaurant/f8wv/tong-tian-xia-hua-lian-ji-an-dian,https://images.deliveryhero.io/image/fd-tw/LH/f8wv-listing.jpg,(△)花蓮縣吉安鄉中華路二段280號,4.7,453
52,鯱複合小館,https://www.foodpanda.com.tw/restaurant/b5yp/shachi-fu-he-xiao-guan,https://images.deliveryhero.io/image/fd-tw/LH/b5yp-listing.jpg,(△) 花蓮縣花蓮市民國路2號,4.5,1019
53,吳家紅茶冰 (高雄總店),https://www.foodpanda.com.tw/chain/cq7xn/wu-jia-hong-cha-bing-gao-xiong-zong-dian,https://images.deliveryhero.io/image/fd-tw/LH/dh2d-listing.jpg,(△)高雄市鳳山區力行路27號,5,1
54,鴻道吉祥黑白木耳露專賣店,https://www.foodpanda.com.tw/restaurant/n3dd/hong-dao-ji-xiang-hei-bai-mu-er-lu-zhuan-mai-dian,https://images.deliveryhero.io/image/fd-tw/LH/n3dd-listing.jpg,(△)花蓮縣吉安鄉中山路二段183之1號,5,27
