id,name,link,pic_url,location,rating,count
1,蘭香和牛肉燥飯,https://www.foodpanda.com.tw/restaurant/z2ws/lan-xiang-he-niu-rou-zao-fan,https://images.deliveryhero.io/image/fd-tw/LH/z2ws-listing.jpg,(△) 高雄市三民區建工路185號,4.5,689
2,吉林龍鳳養生麻辣燙,https://www.foodpanda.com.tw/restaurant/e7jh/ji-lin-long-feng-yang-sheng-ma-la-tang,https://images.deliveryhero.io/image/fd-tw/LH/e7jh-listing.jpg,(△) 高雄市三民區吉林街150號,4.5,175
3,胖老爹美式炸雞 (高醫店),https://www.foodpanda.com.tw/restaurant/y1jk/pang-lao-die-mei-shi-zha-ji-gao-yi-dian,https://images.deliveryhero.io/image/fd-tw/LH/y1jk-listing.jpg,(△) (M) 高雄市三民區熱河一街128號 (食品業者登錄字號：E-142675890-00058-6),4.7,1677
4,京都苑 (高雄鼎山店),https://www.foodpanda.com.tw/restaurant/f9tn/jing-du-yuan-gao-xiong-ding-shan-dian,https://images.deliveryhero.io/image/fd-tw/LH/f9tn-listing.jpg,(O)高雄市三民區大順二路849號(家樂福1F),4.7,128
5,北大港原盅燉鴨湯,https://www.foodpanda.com.tw/restaurant/l1ss/bei-da-gang-yuan-zhong-dun-ya-tang,https://images.deliveryhero.io/image/fd-tw/LH/l1ss-listing.jpg,(△)高雄市三民區鼎山街505號,4.8,42
6,毒家口味 (高雄應昇店),https://www.foodpanda.com.tw/restaurant/q0ag/du-jia-kou-wei-gao-xiong-wan-zi-nei-dian,https://images.deliveryhero.io/image/fd-tw/LH/q0ag-listing.jpg,(△)高雄市三民區應昇路46-1號,4.6,21
7,TEA'S原味,https://www.foodpanda.com.tw/chain/ch3ui/tea-syuan-wei,https://images.deliveryhero.io/image/fd-tw/LH/d5mk-listing.jpg,(O) 嘉義市西區國華街127號,4.7,759
8,Pizzeria da Chou老周披薩,https://www.foodpanda.com.tw/restaurant/d3wu/pizzeria-da-choulao-zhou-pi-sa,https://images.deliveryhero.io/image/fd-tw/LH/d3wu-listing.jpg,(△) 高雄市三民區松江街397號,4.4,218
9,泰奶奶的Thai GrandMa's,https://www.foodpanda.com.tw/chain/cj3qv/tai-nai-nai-de-thai-grandma-s,https://images.deliveryhero.io/image/fd-tw/LH/e6te-listing.jpg,(△) 高雄市三民區瀋陽街152號,4.7,290
10,妙齋素食,https://www.foodpanda.com.tw/restaurant/z3xd/miao-zhai-su-shi,https://images.deliveryhero.io/image/fd-tw/LH/z3xd-listing.jpg,(△) 高雄市左營區富國路60號,4.7,569
11,粄洣越式法包專賣,https://www.foodpanda.com.tw/restaurant/u6eb/ban-mi-yue-shi-fa-bao-zhuan-mai,https://images.deliveryhero.io/image/fd-tw/LH/u6eb-listing.jpg,(△)高雄市三民區建元路5號,4.7,275
12,亞倫妮早午餐,https://www.foodpanda.com.tw/chain/cu4jv/ya-lun-ni-zao-wu-can,https://images.deliveryhero.io/image/fd-tw/LH/z8pa-listing.jpg,(△) 高雄市三民區昌裕街191號,4.7,1023
13,小牧日夏牛奶の鍋 (悦誠廣場),https://www.foodpanda.com.tw/restaurant/e0vl/xiao-mu-ri-xia-niu-nai-noguo-yue-cheng-guang-chang,https://images.deliveryhero.io/image/fd-tw/LH/e0vl-listing.jpg,(O) 高雄市三民區民族一路427號B1F,4.3,64
14,春水堂,https://www.foodpanda.com.tw/chain/cy4ty/chun-shui-tang,https://images.deliveryhero.io/image/fd-tw/LH/f3mr-listing.jpg,(O) 台北市松山區南京東路四段182號,4.7,206
15,50嵐 (高雄博愛北平店),https://www.foodpanda.com.tw/restaurant/z5hu/50--33,https://images.deliveryhero.io/image/fd-tw/LH/z5hu-listing.jpg,(O) 高雄市三民區博愛一路310號,4.8,173
16,KAJU義式手作冰淇淋 (新北板橋店),https://www.foodpanda.com.tw/chain/ci1ma/kajuyi-shi-shou-zuo-bing-qi-lin-xin-bei-ban-qiao-dian,https://images.deliveryhero.io/image/fd-tw/LH/z3ck-listing.jpg,(△) 高雄市三民區孝順街388號,4.7,35
17,貝佛街餐坊 (悦誠廣場),https://www.foodpanda.com.tw/restaurant/e4pz/bei-fo-jie-can-fang-yue-cheng-guang-chang,https://images.deliveryhero.io/image/fd-tw/LH/e4pz-listing.jpg,(O) 高雄市三民區民族一路427號2F,4.6,62
18,吉米食研所-健康餐盒,https://www.foodpanda.com.tw/restaurant/c7ub/ji-mi-shi-yan-suo-jian-kang-can-he,https://images.deliveryhero.io/image/fd-tw/LH/c7ub-listing.jpg,(△)高雄市三民區民族一路368號,4.7,384
19,麻辣工坊,https://www.foodpanda.com.tw/restaurant/p7pp/ma-la-gong-fang,https://images.deliveryhero.io/image/fd-tw/LH/p7pp-listing.jpg,(△)高雄市三民區聯興路40號,4.3,9
20,阿嬤碗粿 自由店,https://www.foodpanda.com.tw/restaurant/f8uw/a-ma-wan-guo-zi-you-dian,https://images.deliveryhero.io/image/fd-tw/LH/f8uw-listing.jpg,(△)高雄市左營區自由二路149號,4.6,1066
21,阿彬炒麵屋 (高雄吉林店),https://www.foodpanda.com.tw/restaurant/v9yb/a-bin-chao-mian-wu-gao-xiong-ji-lin-dian,https://images.deliveryhero.io/image/fd-tw/LH/v9yb-listing.jpg,(△)高雄市三民區吉林街150號,4.5,118
