id,name,link,pic_url,location,rating,count
1,微笑Pasta (基隆中山店),https://www.foodpanda.com.tw/restaurant/b7po/wei-xiao-pasta-ji-long-zhong-shan-dian,https://images.deliveryhero.io/image/fd-tw/LH/b7po-listing.jpg,(△) 基隆市中山區中山一路149號,4.4,312
2,漾漾好時餐廳,https://www.foodpanda.com.tw/restaurant/f9ys/f9ys,https://images.deliveryhero.io/image/fd-tw/LH/f9ys-listing.jpg,(O)基隆市仁愛區南榮路14-1號,4.1,24
3,鴨肉松,https://www.foodpanda.com.tw/restaurant/z3ok/ya-rou-song,https://images.deliveryhero.io/image/fd-tw/LH/z3ok-listing.jpg,(△) 基隆市仁愛區孝二路82號,4.6,1359
4,成功鵝肉麵食館,https://www.foodpanda.com.tw/restaurant/e8kx/cheng-gong-e-rou-mian-shi-guan,https://images.deliveryhero.io/image/fd-tw/LH/e8kx-listing.jpg,(△) 基隆市仁愛區成功一路136號,4.6,1502
5,COMEBUY (基隆廟口店),https://www.foodpanda.com.tw/restaurant/a9he/comebuy-ji-long-miao-kou-dian,https://images.deliveryhero.io/image/fd-tw/LH/a9he-listing.jpg,(O) 基隆市仁愛區愛四路20號1樓(食安登錄字號:C-124483673-00113-2),4.8,801
6,大眾滷味 (基隆總店),https://www.foodpanda.com.tw/restaurant/hlgh/da-zhong-lu-wei-ji-long-zong-dian,https://images.deliveryhero.io/image/fd-tw/LH/hlgh-listing.jpg,(△)基隆市仁愛區忠二路30號,4.7,52
7,康堡,https://www.foodpanda.com.tw/restaurant/d3vy/kang-bao,https://images.deliveryhero.io/image/fd-tw/LH/d3vy-listing.jpg,(△) 基隆市仁愛區仁二路50號,4.6,232
8,成功71滷味,https://www.foodpanda.com.tw/restaurant/m0nh/cheng-gong-71lu-wei,https://images.deliveryhero.io/image/fd-tw/LH/m0nh-listing.jpg,(△)基隆市仁愛區成功一路88號2樓71號攤,4.5,5
9,樂多吐司,https://www.foodpanda.com.tw/restaurant/z4ej/le-duo-tu-si,https://images.deliveryhero.io/image/fd-tw/LH/z4ej-listing.jpg,(△) 基隆市中正區義一路20巷3號,4.6,385
10,HAMA壽司,https://www.foodpanda.com.tw/chain/cu0ip/hamashou-si,https://images.deliveryhero.io/image/fd-tw/LH/t4zw-listing.jpg,(X)新竹市東區林森路18號2樓(晶品城),4.5,85
11,基隆古早味 大腸圈，米粉湯,https://www.foodpanda.com.tw/chain/cv9il/ji-long-gu-zao-wei-da-chang-quan-mi-fen-tang,https://images.deliveryhero.io/image/fd-tw/LH/hlsm-listing.jpg,(△)基隆市安樂區安一路118號,4.4,351
12,箏壽司,https://www.foodpanda.com.tw/restaurant/y7ci/zheng-shou-si1,https://images.deliveryhero.io/image/fd-tw/LH/y7ci-listing.jpg,(△) 基隆市仁愛區孝三路61號 食品業者登錄字號：C-200001894-00000-3,4.7,821
13,S&D ,https://www.foodpanda.com.tw/chain/cw4so/s,https://images.deliveryhero.io/image/fd-tw/LH/a0oj-listing.jpg,(O) 台北市南港區昆陽街140巷1號,4.7,648
14,越南美食,https://www.foodpanda.com.tw/restaurant/a6zu/yue-nan-mei-shi,https://images.deliveryhero.io/image/fd-tw/LH/a6zu-listing.jpg,(△) 基隆市中山區安一路30號,4.7,68
15,百勝達披薩店,https://www.foodpanda.com.tw/restaurant/y3aw/bai-sheng-da-pi-sa-dian,https://images.deliveryhero.io/image/fd-tw/LH/y3aw-listing.jpg,(△) 基隆市仁愛區曲水街25號,4.5,596
16,50嵐,https://www.foodpanda.com.tw/chain/cm2me/50lan,https://images.deliveryhero.io/image/fd-tw/LH/f2zu-listing.jpg,(O)雲林縣西螺鎮中山路111號,4.8,964
17,巧酥盒子,https://www.foodpanda.com.tw/restaurant/t1ep/qiao-su-he-zi,https://images.deliveryhero.io/image/fd-tw/LH/t1ep-listing.jpg,(△)基隆市仁愛區南新街35號4樓,4.7,53
18,水牛饌,https://www.foodpanda.com.tw/restaurant/k3wk/shui-niu-zhuan,https://images.deliveryhero.io/image/fd-tw/LH/k3wk-listing.jpg,(△)基隆市中山區成功二路41號,4.4,274
