category,name,price,id
義大利麵、燉飯,蘑菇,75.0,1
義大利麵、燉飯,培根,75.0,1
義大利麵、燉飯,燻雞,85.0,1
義大利麵、燉飯,德式香腸,85.0,1
義大利麵、燉飯,蝦仁,95.0,1
義大利麵、燉飯,墨魚,95.0,1
義大利麵、燉飯,蟹肉棒,95.0,1
義大利麵、燉飯,海陸總匯,125.0,1
義大利麵、燉飯,什錦素麵,90.0,1
日式丼飯,牛肉丼飯,75.0,1
日式丼飯,豬肉丼飯,75.0,1
日式丼飯,牛肉多多丼飯,110.0,1
日式丼飯,豬肉多多丼飯,110.0,1
單點,番茄海鮮湯,30.0,1
單點,玉米濃湯,30.0,1
單點,單點餐包,25.0,1
單點,可樂 （250ml）,20.0,1
單點,雪碧（250ml）,20.0,1
單點,芬達橘子（250ml）,20.0,1
主餐系列,1 號餐 - 墨西哥香料海鮮炒飯,258.0,2
主餐系列,2 號餐 - 德國雙色臘腸班尼蛋香料炒飯,258.0,2
主餐系列,3號餐 - 椒麻鮮蝦雞柳起司飯,258.0,2
主餐系列,4號餐 - 茄汁臘腸雞柳起司飯,258.0,2
主餐系列,5號餐 - 白酒蛤蜊鮮蝦義大利麵,258.0,2
主餐系列,6號餐 - 轟炸雞凱薩沙拉餐,258.0,2
主餐系列,8號餐 - 庭園野蔬花果和風沙拉餐,258.0,2
開胃菜系列,歡樂酥炸拼盤圓,258.0,2
開胃菜系列,黃金脆皮可樂餅,58.0,2
開胃菜系列,招牌黃金脆薯,88.0,2
開胃菜系列,香酥微辣炸雞翅,188.0,2
特調咖啡及新鮮果汁,拿鐵咖啡,90.0,2
特調咖啡及新鮮果汁,榛果咖啡,90.0,2
特調咖啡及新鮮果汁,熱帶水果茶,90.0,2
特調咖啡及新鮮果汁,蘋果鳳梨鮮榨汁【限冷飲】,120.0,2
特調咖啡及新鮮果汁,火龍果鳳梨鮮榨汁【限冷飲】,120.0,2
特調咖啡及新鮮果汁,綜合水果鮮榨汁【限冷飲】,120.0,2
套餐,A餐,110.0,3
套餐,C餐,160.0,3
湯麵類,當歸鴨肉麵,70.0,3
湯麵類,當歸下水麵,70.0,3
湯麵類,當歸脆腸麵,70.0,3
湯麵類,當歸霜降豬肉麵,85.0,3
湯麵類,當歸羊肉片麵,100.0,3
湯麵類,當歸鴨三寶麵,110.0,3
湯麵類,當歸湯不加肉麵,40.0,3
飯麵類,霜降豬肉便當,100.0,3
飯麵類,招牌鴨肉便當,80.0,3
飯麵類,霜降豬肉飯,80.0,3
飯麵類,鴨肉飯,35.0,3
飯麵類,魯肉飯,30.0,3
飯麵類,白飯,15.0,3
飯麵類,鴨肉乾麵,60.0,3
飯麵類,香拌麵線【乾】,45.0,3
飯麵類,乾麵【油麵】,35.0,3
湯類,鴨三寶湯,100.0,3
湯類,羊肉湯,90.0,3
湯類,霜降豬肉湯,75.0,3
湯類,鴨肉湯,60.0,3
湯類,下水湯,60.0,3
湯類,脆腸湯,60.0,3
湯類,鴨肉丸湯,45.0,3
湯類,米血湯,35.0,3
湯類,高麗菜湯,35.0,3
湯類,清湯,30.0,3
小菜類,鴨肉4分之1,150.0,3
小菜類,鴨肉【盤】,90.0,3
小菜類,霜降豬肉盤,90.0,3
小菜類,脆腸【盤】,55.0,3
小菜類,下水【乾】,55.0,3
小菜類,燙地瓜葉,35.0,3
小菜類,燙大陸妹,35.0,3
小菜類,燙高麗菜,35.0,3
小菜類,米血【乾】,35.0,3
小菜類,油豆腐,35.0,3
小菜類,筍絲,35.0,3
小菜類,鴨尾椎,30.0,3
小菜類,魯蛋,10.0,3
熱門餐點專區,紅油乾拌意麵x2,88.0,4
熱門餐點專區,鵝血糕x2,60.0,4
獨家販售,麻辣臭豆腐,50.0,4
獨家販售,麻辣鴨血,50.0,4
獨家販售,麻辣鴨血臭豆腐,50.0,4
獨家販售,麻辣豆皮,50.0,4
招牌鵝肉,鹹水招牌鵝肉,380.0,4
招牌鵝肉,原味鵝頭,70.0,4
招牌鵝肉,蒜泥鵝頭,70.0,4
招牌鵝肉,鵝翅膀,50.0,4
