id,name,link,pic_url,location,rating,count
1,COMEBUY,https://www.foodpanda.com.tw/chain/cx7dy/comebuy,https://images.deliveryhero.io/image/fd-tw/LH/d8ji-listing.jpg,(O) (M) 新北市永和區永和路二段30號 (食安登錄字號:F-124483673-00152-8),4.9,23
2,爸氣,https://www.foodpanda.com.tw/restaurant/d0ns/ba-qi,https://images.deliveryhero.io/image/fd-tw/LH/d0ns-listing.jpg,(△) 金門縣金湖鎮山外里黃海路90之5號,4.9,25
3,阿花的家,https://www.foodpanda.com.tw/restaurant/m03v/a-hua-de-jia,https://images.deliveryhero.io/image/fd-tw/LH/m03v-listing.jpg,(△)金門縣金城鎮賢聚16號,4.6,16
4,金湖飯店,https://www.foodpanda.com.tw/restaurant/p0fe/jin-hu-fan-dian,https://images.deliveryhero.io/image/fd-tw/LH/p0fe-listing.jpg,(O)金門縣金湖鎮太湖路二段218號1樓,5,2
5,尚蔬苑,https://www.foodpanda.com.tw/restaurant/j7ll/shang-shu-yuan,https://images.deliveryhero.io/image/fd-tw/LH/j7ll-listing.jpg,(O)金門縣金湖鎮小徑31號,NA,0
6,手作功夫茶 (金門山外店),https://www.foodpanda.com.tw/restaurant/g7eq/shou-zuo-gong-fu-cha-jin-men-shan-wai-dian,https://images.deliveryhero.io/image/fd-tw/LH/g7eq-listing.jpg,(O)金門縣金湖鎮復興路53號,4.9,14
7,戰 燒烤.熱炒.小火鍋,https://www.foodpanda.com.tw/restaurant/d2ng/zhan-shao-kao-re-chao-xiao-huo-guo,https://images.deliveryhero.io/image/fd-tw/LH/d2ng-listing.jpg,(△) 金門縣金寧鄉環島北路一段369-8號,4.3,385
8,摩斯漢堡,https://www.foodpanda.com.tw/chain/ca4mx/mo-si-han-bao,https://images.deliveryhero.io/image/fd-tw/LH/d0if-listing.jpg,(O) 台北市信義區忠孝東路五段629號1樓,4.7,1196
9,茶湯會,https://www.foodpanda.com.tw/chain/cr9bx/cha-tang-hui-wan-hua-kang-ding-dian,https://images.deliveryhero.io/image/fd-tw/LH/g5un-listing.jpg,(O) 屏東縣屏東市廣東路613-3號,4.8,429
10,日向琉一茶,https://www.foodpanda.com.tw/restaurant/d7ai/ri-xiang-liu-cha,https://images.deliveryhero.io/image/fd-tw/LH/d7ai-listing.jpg,(O) 金門縣金城鎮珠浦北路5巷12弄4號1樓,4.8,435
11,義巷屋,https://www.foodpanda.com.tw/restaurant/f1bd/yi-xiang-wu,https://images.deliveryhero.io/image/fd-tw/LH/f1bd-listing.jpg,(△)金門縣金城鎮珠浦南路44巷18弄5號,4.6,120
12,五丼拉麵 (金門環島店),https://www.foodpanda.com.tw/restaurant/d7bx/wu-jing-la-mian-jin-men-huan-dao-dian,https://images.deliveryhero.io/image/fd-tw/LH/d7bx-listing.jpg,(△) 金門縣金寧鄉環島西路二段46號,4.2,117
13,AP203Bar (金門金城店),https://www.foodpanda.com.tw/restaurant/d8do/ap203bar-jin-men-jin-cheng-dian,https://images.deliveryhero.io/image/fd-tw/LH/d8do-listing.jpg,(△) 金門縣金城鎮金城新莊1巷14號,4.7,963
14,食神滷味 (金門金城店),https://www.foodpanda.com.tw/restaurant/c2px/shi-shen-lu-wei-jin-men-jin-cheng-dian-1,https://images.deliveryhero.io/image/fd-tw/LH/c2px-listing.jpg,(△)金門縣金城鎮莒光路173號,4.7,148
15,鬼匠拉麵,https://www.foodpanda.com.tw/chain/cv8gb/gui-jiang-la-mian,https://images.deliveryhero.io/image/fd-tw/LH/e2nu-listing.jpg,(△) (M) 新北市三重區中正北路276巷10號,4.6,462
16,那隻雞燒烤.簡餐,https://www.foodpanda.com.tw/restaurant/d3bp/na-zhi-ji-shao-kao-jian-can,https://images.deliveryhero.io/image/fd-tw/LH/d3bp-listing.jpg,(△) 金門縣金城鎮民權路196-2號,4.5,37
17,豚將日本拉麵,https://www.foodpanda.com.tw/chain/cl1nd/tun-jiang-ri-ben-la-mian,https://images.deliveryhero.io/image/fd-tw/LH/r2yb-listing.jpg,(△) 高雄市三民區鼎力路181號,4.6,357
18,盈記廣東腸粉,https://www.foodpanda.com.tw/restaurant/j8yc/ying-ji-guang-dong-chang-fen,https://images.deliveryhero.io/image/fd-tw/LH/j8yc-listing.jpg,(△)金門縣金城鎮菜市場路24號,4.7,161
19,初心鍋燒意麵專賣店,https://www.foodpanda.com.tw/restaurant/rb7a/chu-xin-guo-shao-yi-mian-zhuan-mai-dian,https://images.deliveryhero.io/image/fd-tw/LH/rb7a-listing.jpg,(△)金門縣金城鎮環島北路一段20號,4.5,4
20,歐老板火鍋炸物,https://www.foodpanda.com.tw/restaurant/i5ti/ou-lao-ban-huo-guo-zha-wu,https://images.deliveryhero.io/image/fd-tw/LH/i5ti-listing.jpg,(△)金門縣金城鎮民權路88巷22號,4.6,273
21,吳記麻辣滷味,https://www.foodpanda.com.tw/restaurant/s4jc/wu-ji-ma-la-lu-wei,https://images.deliveryhero.io/image/fd-tw/LH/s4jc-listing.jpg,(△)金門縣金城鎮中興路173巷14弄2號,4.6,73
22,沐白小農牧場 (金門伯玉店),https://www.foodpanda.com.tw/restaurant/d7cs/mu-bai-xiao-nong-mu-chang-jin-men-bo-yu-dian,https://images.deliveryhero.io/image/fd-tw/LH/d7cs-listing.jpg,(O) 金門縣金寧鄉伯玉路二段223號,4.8,437
23,59章魚燒,https://www.foodpanda.com.tw/restaurant/p5db/59zhang-yu-shao,https://images.deliveryhero.io/image/fd-tw/LH/p5db-listing.jpg,(△)金門縣金城鎮珠浦北路1號,4.4,59
24,饗夜食堂 (金門金城店),https://www.foodpanda.com.tw/restaurant/c2fe/xiang-ye-shi-tang-jin-men-jin-cheng-dian,https://images.deliveryhero.io/image/fd-tw/LH/c2fe-listing.jpg,(△)金門縣金城鎮民族路253之5號,4.4,191
25,帕堤咖啡吧,https://www.foodpanda.com.tw/restaurant/t6cl/pa-di-ka-pei-ba,https://images.deliveryhero.io/image/fd-tw/LH/t6cl-listing.jpg,(△)金門縣金城鎮西海路三段72巷3弄5號,4.7,19
26,晨間廚房,https://www.foodpanda.com.tw/chain/cx8yf/chen-jian-chu-fang,https://images.deliveryhero.io/image/fd-tw/LH/d0je-listing.jpg,(△) 金門縣金城鎮民生路5巷3號,4.6,1435
27,加州咖啡屋,https://www.foodpanda.com.tw/restaurant/f9he/jia-zhou-ka-pei-wu,https://images.deliveryhero.io/image/fd-tw/LH/f9he-listing.jpg,(△)金門縣金城鎮珠浦南路74巷21號,4.6,298
28,老成都川味麻辣燙,https://www.foodpanda.com.tw/chain/cm7ae/lao-cheng-du-chuan-wei-ma-la-tang,https://images.deliveryhero.io/image/fd-tw/LH/c5xz-listing.jpg,(△) 苗栗縣頭份市信東路195號,4.3,108
29,澄糖入室 (金門民權店),https://www.foodpanda.com.tw/restaurant/d6se/cheng-tang-ru-shi-jin-men-min-quan-dian,https://images.deliveryhero.io/image/fd-tw/LH/d6se-listing.jpg,(O) 金門縣金城鎮民權路121號,4.7,564
30,韓味軒,https://www.foodpanda.com.tw/restaurant/d2su/han-wei-xuan,https://images.deliveryhero.io/image/fd-tw/LH/d2su-listing.jpg,(O) 金門縣金寧鄉伯玉路二段223-3號,4.3,391
31,平衡式果汁鋪,https://www.foodpanda.com.tw/restaurant/x8tv/ping-heng-shi-guo-zhi-pu,https://images.deliveryhero.io/image/fd-tw/LH/x8tv-listing.jpg,(△)金門縣金城鎮東門里模範街22號,5,2
32,3Q脆皮雞排 (金門金城總店),https://www.foodpanda.com.tw/restaurant/q2ez/3qcui-pi-ji-pai-jin-men-jin-cheng-zong-dian,https://images.deliveryhero.io/image/fd-tw/LH/q2ez-listing.jpg,(△)金門縣金城鎮民族路129之3號,4.6,948
33,六合極品海鮮鍋物專門店,https://www.foodpanda.com.tw/restaurant/q7vb/liu-he-ji-pin-hai-xian-guo-wu-zhuan-men-dian,https://images.deliveryhero.io/image/fd-tw/LH/q7vb-listing.jpg,(△)金門縣金城鎮模範街22號,4.7,9
34,不要對我尖叫,https://www.foodpanda.com.tw/chain/cr8ax/bu-yao-dui-wo-jian-jiao,https://images.deliveryhero.io/image/fd-tw/LH/m8vk-listing.jpg,(O) 桃園市中壢區中華路二段501號,4.8,452
35,鄉香滷味,https://www.foodpanda.com.tw/restaurant/d0kz/xiang-xiang-lu-wei,https://images.deliveryhero.io/image/fd-tw/LH/d0kz-listing.jpg,(△) 金門縣金城鎮中興路148號,4.6,354
36,韓鍋人韓式鍋物專賣店 (金門民族店),https://www.foodpanda.com.tw/restaurant/d5sq/han-guo-ren-han-shi-guo-wu-zhuan-mai-dian-jin-men-min-zu-dian,https://images.deliveryhero.io/image/fd-tw/LH/d5sq-listing.jpg,(△) 金門縣金城鎮民族路237號,4.5,260
