id,name,link,pic_url,location,rating,count
1,莎卡茶 Shakatea,https://www.foodpanda.com.tw/restaurant/f3ls/sha-qia-cha-shakatea,https://images.deliveryhero.io/image/fd-tw/LH/f3ls-listing.jpg,(△)苗栗縣公館鄉大同路191號,4.7,421
2,大諺廚房,https://www.foodpanda.com.tw/restaurant/m8gq/da-yan-chu-fang,https://images.deliveryhero.io/image/fd-tw/LH/m8gq-listing.jpg,(△) 苗栗縣後龍鎮中山路30巷3號,4.5,45
3,熊熊可麗餅,https://www.foodpanda.com.tw/restaurant/q4xx/xiong-xiong-ke-li-bing-1,https://images.deliveryhero.io/image/fd-tw/LH/q4xx-listing.jpg,(△)苗栗縣公館鄉大同路236號,4.3,8
4,鱺魚小吃店,https://www.foodpanda.com.tw/restaurant/f0hk/li-yu-xiao-chi-dian,https://images.deliveryhero.io/image/fd-tw/LH/f0hk-listing.jpg,(△)苗栗縣頭屋鄉象山路239號,4.8,15
5,清心福全,https://www.foodpanda.com.tw/chain/cw6az/qing-xin-fu-quan,https://images.deliveryhero.io/image/fd-tw/LH/s4hq-listing.jpg,(O) 台北市中山區吉林路423號,4.8,577
6,阿婆家,https://www.foodpanda.com.tw/restaurant/f7zk/a-po-jia,https://images.deliveryhero.io/image/fd-tw/LH/f7zk-listing.jpg,(△)苗栗縣頭屋鄉頭屋村中正街61號,4.5,87
7,阿富水煎包 (苗栗公館店),https://www.foodpanda.com.tw/restaurant/f0to/a-fu-shui-jian-bao-miao-li-gong-guan-dian,https://images.deliveryhero.io/image/fd-tw/LH/f0to-listing.jpg,(△)苗栗縣公館鄉通明街42號,4.8,76
8,諾漾咖啡,https://www.foodpanda.com.tw/restaurant/v6ey/nuo-yang-ka-pei,https://images.deliveryhero.io/image/fd-tw/LH/v6ey-listing.jpg,(△)苗栗縣公館鄉玉泉村14鄰玉泉368-9號,4.5,137
9,真粥道 (苗栗後龍店),https://www.foodpanda.com.tw/restaurant/j3ri/zhen-zhou-dao-miao-li-hou-long-dian,https://images.deliveryhero.io/image/fd-tw/LH/j3ri-listing.jpg,(△)苗栗縣後龍鎮中華路63-2號,4.5,114
10,小食堂-媽媽手作便當,https://www.foodpanda.com.tw/restaurant/v6zp/xiao-shi-tang-ma-ma-shou-zuo-bian-dang,https://images.deliveryhero.io/image/fd-tw/LH/v6zp-listing.jpg,(△)苗栗縣後龍鎮東明里下浮尾135-9號,4.4,47
