id,name,link,pic_url,location,rating,count
1,阿伯ㄟ甕仔雞,https://www.foodpanda.com.tw/restaurant/i4vs/a-bo-eiweng-zi-ji,https://images.deliveryhero.io/image/fd-tw/LH/i4vs-listing.jpg,(O)南投縣竹山鎮集山路二段321-1號,5,1
2,杯樂 (竹山社寮店),https://www.foodpanda.com.tw/restaurant/x8ak/bei-le-zhu-shan-she-liao-dian,https://images.deliveryhero.io/image/fd-tw/LH/x8ak-listing.jpg,(△)南投縣竹山鎮集山路一段2228號,4.5,2
3,木子豆坊,https://www.foodpanda.com.tw/restaurant/s4qf/mu-zi-dou-fang,https://images.deliveryhero.io/image/fd-tw/LH/s4qf-listing.jpg,(△)南投縣竹山鎮大公街59號,NA,0
4,A&樂黑糖波霸鮮奶,https://www.foodpanda.com.tw/restaurant/i9uo/aandle-hei-tang-bo-ba-xian-nai,https://images.deliveryhero.io/image/fd-tw/LH/i9uo-listing.jpg,(△)南投縣竹山鎮大公街40號,4.5,6
5,海雞會甕缸雞,https://www.foodpanda.com.tw/restaurant/t1xp/hai-ji-hui-weng-gang-ji,https://images.deliveryhero.io/image/fd-tw/LH/t1xp-listing.jpg,(△)南投縣竹山鎮集山路二段358號,5,1
6,玖玖牛排美食館,https://www.foodpanda.com.tw/restaurant/d7wa/jiu-jiu-niu-pai-mei-shi-guan,https://images.deliveryhero.io/image/fd-tw/LH/d7wa-listing.jpg,(△) 南投縣埔里鎮西寧路26號,4.6,1377
7,獅子大開口,https://www.foodpanda.com.tw/restaurant/p6xs/shi-zi-da-kai-kou,https://images.deliveryhero.io/image/fd-tw/LH/p6xs-listing.jpg,(△)南投縣埔里鎮西康路6號,4.4,113
8,南光排肉飯 (南興店),https://www.foodpanda.com.tw/restaurant/d8ui/nan-guang-pai-rou-fan-nan-xing-dian,https://images.deliveryhero.io/image/fd-tw/LH/d8ui-listing.jpg,(△) 南投縣埔里鎮南興街131號,4.6,699
9,豬小妹,https://www.foodpanda.com.tw/restaurant/h8wt/zhu-xiao-mei,https://images.deliveryhero.io/image/fd-tw/LH/h8wt-listing.jpg,(△)南投縣南投市育樂路102號,4.7,54
10,大呼過癮,https://www.foodpanda.com.tw/chain/cn0ai/da-hu-guo-yin,https://images.deliveryhero.io/image/fd-tw/LH/p8dj-listing.jpg,(△)新北市八里區中華路二段568號,4.5,156
11,成功牛排,https://www.foodpanda.com.tw/chain/ck3is/cheng-gong-niu-pai,https://images.deliveryhero.io/image/fd-tw/LH/q8cs-listing.jpg,(△)苗栗縣後龍鎮中華路50之3號,4.7,86
12,Sun蔬食早午餐,https://www.foodpanda.com.tw/restaurant/b7kf/sunshu-shi-zao-wu-can,https://images.deliveryhero.io/image/fd-tw/LH/b7kf-listing.jpg,(△) 南投縣埔里鎮信義路667號,4.7,274
13,水云茶堂阿里山鐵道紅茶,https://www.foodpanda.com.tw/chain/cf5uc/shui-yun-cha-tang-a-li-shan-tie-dao-hong-cha,https://images.deliveryhero.io/image/fd-tw/LH/b5ey-listing.jpg,(△)彰化縣埔心鄉義民村員鹿路二段460號,4.8,703
14,艾丹脆皮雞排,https://www.foodpanda.com.tw/restaurant/x9oi/ai-dan-cui-pi-ji-pai,https://images.deliveryhero.io/image/fd-tw/LH/x9oi-listing.jpg,(△)南投縣南投市文昌街45號(隔壁),4.6,282
15,普里鹹油條 (南投埔里店),https://www.foodpanda.com.tw/restaurant/b3ot/pu-li-xian-you-tiao-nan-tou-bu-li-dian,https://images.deliveryhero.io/image/fd-tw/LH/b3ot-listing.jpg,(△) 南投縣埔里鎮南興街9-10號,4.7,503
16,厚道小雞,https://www.foodpanda.com.tw/restaurant/b0cx/hou-dao-xiao-ji,https://images.deliveryhero.io/image/fd-tw/LH/b0cx-listing.jpg,(△) 南投縣南投市公園街118號,4.7,560
17,老爺鹽水雞,https://www.foodpanda.com.tw/restaurant/q2an/lao-ye-yan-shui-ji,https://images.deliveryhero.io/image/fd-tw/LH/q2an-listing.jpg,(△)南投縣南投市民族路205號,4.3,179
18,後壁厝,https://www.foodpanda.com.tw/restaurant/b3ys/hou-bi-cuo,https://images.deliveryhero.io/image/fd-tw/LH/b3ys-listing.jpg,(△) 南投縣埔里鎮愛蘭路6號(愛蘭國小旁的全家隔壁),4.5,260
19,泰夯茶,https://www.foodpanda.com.tw/restaurant/n0jo/tai-hang-cha,https://images.deliveryhero.io/image/fd-tw/LH/n0jo-listing.jpg,(△) 南投縣埔里鎮中正橋,4.8,38
20,弘爺漢堡【總部菜單】,https://www.foodpanda.com.tw/chain/cp3wq/hong-ye-han-bao-zong-bu-cai-dan,https://images.deliveryhero.io/image/fd-tw/LH/e1tg-listing.jpg,(△)新竹市竹光路259號,4.7,268
21,新天地精緻便當,https://www.foodpanda.com.tw/restaurant/d5eh/xin-tian-di-jing-zhi-bian-dang,https://images.deliveryhero.io/image/fd-tw/LH/d5eh-listing.jpg,(△) 南投縣南投市三和二路13號,4.6,382
22,老眷村鞠媽手作水餃,https://www.foodpanda.com.tw/chain/cj7qg/lao-juan-cun-ju-ma-shou-zuo-shui-jiao,https://images.deliveryhero.io/image/fd-tw/LH/l5ul-listing.jpg,(△) 南投市中興路468巷6號 南投縣 540,4.5,62
23,南埔one-蛋糕棒(手作點心),https://www.foodpanda.com.tw/restaurant/d6ps/nan-bu-one-dan-gao-bang-shou-zuo-dian-xin,https://images.deliveryhero.io/image/fd-tw/LH/d6ps-listing.jpg,(△) 南投縣草屯鎮南埔里中正路344-3號,4.4,21
24,埔里小樽日本料理,https://www.foodpanda.com.tw/restaurant/b7gd/bu-li-xiao-zun-ri-ben-liao-li,https://images.deliveryhero.io/image/fd-tw/LH/b7gd-listing.jpg,(△) 南投縣埔里鎮南安路31之1號,4.4,148
25,郎港式鮮肉包 (南投公園店),https://www.foodpanda.com.tw/restaurant/cb05/lang-gang-shi-xian-rou-bao-nan-tou-gong-yuan-dian,https://images.deliveryhero.io/image/fd-tw/LH/cb05-listing.jpg,(△)南投縣南投市公園街2號,4.8,12
26,飯店 丼飯專賣,https://www.foodpanda.com.tw/restaurant/v0sv/fan-dian-jing-fan-zhuan-mai,https://images.deliveryhero.io/image/fd-tw/LH/v0sv-listing.jpg,(△) 南投縣南投市中山南街72號,4.4,55
27,新街大腸蚵仔麵線臭豆腐,https://www.foodpanda.com.tw/restaurant/e3kg/xin-jie-da-chang-he-zi-mian-xian-chou-dou-fu,https://images.deliveryhero.io/image/fd-tw/LH/e3kg-listing.jpg,(△) 南投縣名間鄉彰南路516號,4.6,156
28,蘇手工蛋餅,https://www.foodpanda.com.tw/restaurant/d8yq/su-shou-gong-dan-bing,https://images.deliveryhero.io/image/fd-tw/LH/d8yq-listing.jpg,(△) 南投縣埔里鎮大城路204號,4.6,300
29,食神滷味 (埔里中山店),https://www.foodpanda.com.tw/restaurant/b3ug/shi-shen-lu-wei-bu-li-zhong-shan-dian,https://images.deliveryhero.io/image/fd-tw/LH/b3ug-listing.jpg,(△) 南投縣埔里鎮中山路二段358號 食品業者登錄字號:M-200128209-00000-3,4.6,476
30,珍味石頭火鍋,https://www.foodpanda.com.tw/restaurant/b5uu/zhen-wei-shi-tou-huo-guo,https://images.deliveryhero.io/image/fd-tw/LH/b5uu-listing.jpg,(△) 南投縣埔里鎮中山路三段282號,4.6,521
31,85度C,https://www.foodpanda.com.tw/chain/co3xj/85du-c-zhong-nan-bu,https://images.deliveryhero.io/image/fd-tw/LH/i2xr-listing.jpg,(O)宜蘭縣頭城鎮青雲路三段128號,5,13
32,阿蘭火雞肉飯,https://www.foodpanda.com.tw/restaurant/h5xe/a-lan-huo-ji-rou-fan,https://images.deliveryhero.io/image/fd-tw/LH/h5xe-listing.jpg,(△)南投縣埔里鎮中正路245號,4.7,409
33,重慶麻辣牛肉麵,https://www.foodpanda.com.tw/restaurant/j2xm/zhong-qing-ma-la-niu-rou-mian,https://images.deliveryhero.io/image/fd-tw/LH/j2xm-listing.jpg,(△) 南投縣埔里鎮民富路27號,4.5,163
34,張素食早點,https://www.foodpanda.com.tw/restaurant/d3bi/zhang-su-shi-zao-dian,https://images.deliveryhero.io/image/fd-tw/LH/d3bi-listing.jpg,(△) 南投縣埔里鎮中華路132號,4.8,273
35,游記扣仔嗲,https://www.foodpanda.com.tw/restaurant/q6gq/you-ji-kou-zi-dia,https://images.deliveryhero.io/image/fd-tw/LH/q6gq-listing.jpg,(△)南投縣埔里鎮隆生路80號,4.6,641
36,廚師雞 (南投埔里店),https://www.foodpanda.com.tw/restaurant/b2tg/chu-shi-ji-nan-tou-bu-li-dian,https://images.deliveryhero.io/image/fd-tw/LH/b2tg-listing.jpg,(△) 南投縣埔里鎮信義路730號,4.7,1207
37,庄腳人ㄟ灶腳,https://www.foodpanda.com.tw/restaurant/l8hx/zhuang-jiao-ren-eizao-jiao-1,https://images.deliveryhero.io/image/fd-tw/LH/l8hx-listing.jpg,(△)南投縣埔里鎮育英街33號,4.7,62
38,天野養生特色餐,https://www.foodpanda.com.tw/restaurant/r8zy/tian-ye-yang-sheng-te-se-can,https://images.deliveryhero.io/image/fd-tw/LH/r8zy-listing.jpg,(O)南投縣竹山鎮集山路二段591之2號,5,1
39,金膳坊素食餐廳,https://www.foodpanda.com.tw/restaurant/v2ca/jin-shan-fang-su-shi-can-ting,https://images.deliveryhero.io/image/fd-tw/LH/v2ca-listing.jpg,(△)南投縣埔里鎮西安路一段537巷50-1號,5,4
40,陳家古早味,https://www.foodpanda.com.tw/restaurant/l6dh/chen-jia-gu-zao-wei,https://images.deliveryhero.io/image/fd-tw/LH/l6dh-listing.jpg,(△)南投縣埔里鎮中華路33號,4.3,191
41,竹山橋頭麵 (宵夜場),https://www.foodpanda.com.tw/restaurant/iub8/zhu-shan-qiao-tou-mian-xiao-ye-chang,https://images.deliveryhero.io/image/fd-tw/LH/iub8-listing.jpg,(△)南投縣竹山鎮延和里過坑巷15之11號,4.2,14
42,Puli埔里雞蛋仔,https://www.foodpanda.com.tw/restaurant/u6pv/pulibu-li-ji-dan-zi,https://images.deliveryhero.io/image/fd-tw/LH/u6pv-listing.jpg,(△)南投縣埔里鎮東榮路142號,4.8,132
43,Pizza Hut必勝客【Compact - 簡易門市】,https://www.foodpanda.com.tw/chain/cz3qi/pizza-hutbi-sheng-ke-compact-jian-yi-men-shi,https://images.deliveryhero.io/image/fd-tw/LH/d5wx-listing.jpg,(X)台南市新化區中正路545之1號 食品業者登錄字號：D-197161500-00408-2,4.7,1556
44,埔隆宮碳烤吐司大王,https://www.foodpanda.com.tw/restaurant/x9jm/bu-long-gong-tan-kao-tu-si-da-wang,https://images.deliveryhero.io/image/fd-tw/LH/x9jm-listing.jpg,(△)南投縣埔里鎮中山路三段187號,4.5,138
45,金碗吃雞,https://www.foodpanda.com.tw/restaurant/c1ds/jin-wan-chi-ji-2,https://images.deliveryhero.io/image/fd-tw/LH/c1ds-listing.jpg,(△) 南投縣埔里鎮中正路359號,4.6,74
46,台北江麻辣臭豆腐 (南投中山南店),https://www.foodpanda.com.tw/restaurant/h1pu/tai-bei-jiang-ma-la-chou-dou-fu-nan-tou-zhong-shan-nan-dian,https://images.deliveryhero.io/image/fd-tw/LH/h1pu-listing.jpg,(△)南投縣南投市中山南街83號,4.4,245
