id,name,link,pic_url,location,rating,count
1,茶之鄉,https://www.foodpanda.com.tw/restaurant/b4kv/cha-zhi-xiang,https://images.deliveryhero.io/image/fd-tw/LH/b4kv-listing.jpg,(△) 新北市新莊區民安路144巷9號,4.7,457
2,良家滷味,https://www.foodpanda.com.tw/restaurant/i5ms/liang-jia-lu-wei-1,https://images.deliveryhero.io/image/fd-tw/LH/i5ms-listing.jpg,(△)新北市新莊區建國一路86號,4.5,81
3,香鼎羹,https://www.foodpanda.com.tw/restaurant/d1fj/xiang-ding-geng,https://images.deliveryhero.io/image/fd-tw/LH/d1fj-listing.jpg,(△) 新北市新莊區民安路359號,4.4,135
4,建安廣東粥,https://www.foodpanda.com.tw/restaurant/y4sd/jian-an-guang-dong-zhou,https://images.deliveryhero.io/image/fd-tw/LH/y4sd-listing.jpg,(△) 新北市新莊區四維路8號,4.7,933
5,荳荳早午餐,https://www.foodpanda.com.tw/restaurant/g3xp/dou-dou-zao-wu-can,https://images.deliveryhero.io/image/fd-tw/LH/g3xp-listing.jpg,(△)新北市新莊區民安路294號,4.7,375
6,樂肴私房廚房,https://www.foodpanda.com.tw/restaurant/o6tm/le-yao-si-fang-chu-fang,https://images.deliveryhero.io/image/fd-tw/LH/o6tm-listing.jpg,(△)新北市新莊區瓊泰路113號,4.6,494
7,好老闆滷味,https://www.foodpanda.com.tw/restaurant/y6er/hao-lao-ban-lu-wei,https://images.deliveryhero.io/image/fd-tw/LH/y6er-listing.jpg,(△) 新北市新莊區建國一路24號,4.5,152
8,歐麥手作早午餐,https://www.foodpanda.com.tw/restaurant/f1fw/ou-mai-shou-zuo-zao-wu-can,https://images.deliveryhero.io/image/fd-tw/LH/f1fw-listing.jpg,(△) 新北市新莊區四維路10號,4.5,406
9,小阿姨早餐,https://www.foodpanda.com.tw/restaurant/l7we/xiao-a-yi-zao-can,https://images.deliveryhero.io/image/fd-tw/LH/l7we-listing.jpg,(△)新北市泰山區新北大道六段375號,4.6,78
10,蜜酥雞排MSGP (新北中平店),https://www.foodpanda.com.tw/restaurant/q1zd/mi-su-ji-pai-msgp-xin-bei-zhong-ping-dian,https://images.deliveryhero.io/image/fd-tw/LH/q1zd-listing.jpg,(△)新北市新莊區中平路10號(左後側),4.4,104
