id,name,link,pic_url,location,rating,count
1,吹吹風精品精品咖啡館 (澎湖機場店),https://www.foodpanda.com.tw/restaurant/m0tv/chui-chui-feng-jing-pin-jing-pin-ka-pei-guan-peng-hu-ji-chang-dian,https://images.deliveryhero.io/image/fd-tw/LH/m0tv-listing.jpg,(O)澎湖縣湖西鄉隘門村126-5號1樓,5,2
2,沖繩飯丸,https://www.foodpanda.com.tw/restaurant/j1vq/chong-sheng-fan-wan,https://images.deliveryhero.io/image/fd-tw/LH/j1vq-listing.jpg,(△)澎湖縣馬公市興仁里60-30號,4.5,10
3,南台灣土魠魚焿 (澎湖石泉店),https://www.foodpanda.com.tw/restaurant/d0iv/nan-tai-wan-tu-tuo-yu-peng-hu-shi-quan-dian,https://images.deliveryhero.io/image/fd-tw/LH/d0iv-listing.jpg,(△) 澎湖縣馬公市石泉里1-19號,4.7,417
4,比時地美式漢堡 (澎湖3號港店),https://www.foodpanda.com.tw/restaurant/u4vw/bi-shi-di-mei-shi-han-bao-peng-hu-3hao-gang-dian,https://images.deliveryhero.io/image/fd-tw/LH/u4vw-listing.jpg,(O)澎湖縣馬公市同和路158號,4.8,32
5,海上人家冷飲店,https://www.foodpanda.com.tw/restaurant/ytzu/hai-shang-ren-jia-leng-yin-dian,https://images.deliveryhero.io/image/fd-tw/LH/ytzu-listing.jpg,(△)澎湖縣馬公市中華路122號,5,1
6,城市漢堡,https://www.foodpanda.com.tw/chain/cp9va/cheng-shi-han-bao,https://images.deliveryhero.io/image/fd-tw/LH/e2ve-listing.jpg,(△) 高雄市小港區山明路411號,4.8,1310
7,不吃不可鹹水雞 (澎湖馬公店),https://www.foodpanda.com.tw/restaurant/j6kk/bu-chi-bu-ke-xian-shui-ji-peng-hu-ma-gong-dian,https://images.deliveryhero.io/image/fd-tw/LH/j6kk-listing.jpg,(△)澎湖縣馬公市三多路8號,4.5,110
8,Summer夏天茶飲 (澎湖北辰店),https://www.foodpanda.com.tw/restaurant/l3oh/summerxia-tian-cha-yin-peng-hu-bei-chen-dian,https://images.deliveryhero.io/image/fd-tw/LH/l3oh-listing.jpg,(△)澎湖縣馬公市光復路96-1號,4.8,16
9,云香集鍋燒意麵店,https://www.foodpanda.com.tw/restaurant/n1pg/yun-xiang-ji-guo-shao-yi-mian-dian,https://images.deliveryhero.io/image/fd-tw/LH/n1pg-listing.jpg,(△)澎湖縣馬公市三多路14號,4,74
10,吹吹風精品咖啡館 (亞澎碼頭餐酒館),https://www.foodpanda.com.tw/restaurant/c7of/chui-chui-feng-jing-pin-ka-pei-guan-ya-peng-ma-tou-can-jiu-guan,https://images.deliveryhero.io/image/fd-tw/LH/c7of-listing.jpg,(O)澎湖縣馬公市海安街1號,5,2
11,春陽茶事,https://www.foodpanda.com.tw/chain/cx6tz/chun-yang-cha-shi,https://images.deliveryhero.io/image/fd-tw/LH/n9hc-listing.jpg,(O) 彰化縣彰化市中正路一段479號,4.8,440
12,吳記沙拉船手作坊,https://www.foodpanda.com.tw/restaurant/s2xj/wu-ji-sha-la-chuan-shou-zuo-fang,https://images.deliveryhero.io/image/fd-tw/LH/s2xj-listing.jpg,(△)澎湖縣馬公市重慶街16號,4.8,43
13,賀茶堂 (澎湖馬公店),https://www.foodpanda.com.tw/restaurant/s4un/he-cha-tang-peng-hu-ma-gong-dian,https://images.deliveryhero.io/image/fd-tw/LH/s4un-listing.jpg,(△)澎湖縣馬公市民權路89-2號,4.9,84
14,九湯屋,https://www.foodpanda.com.tw/chain/cc7wx/jiu-tang-wu,https://images.deliveryhero.io/image/fd-tw/LH/d9pz-listing.jpg,(△)宜蘭縣宜蘭市復興路19號1樓,4.7,602
15,茶水道 (馬公東衛店),https://www.foodpanda.com.tw/restaurant/q5hd/cha-shui-dao-ma-gong-dong-wei-dian,https://images.deliveryhero.io/image/fd-tw/LH/q5hd-listing.jpg,(△)澎湖縣馬公市東衛里19鄰9之2號,4.4,25
16,COMEBUY,https://www.foodpanda.com.tw/chain/cx7dy/comebuy,https://images.deliveryhero.io/image/fd-tw/LH/d7mv-listing.jpg,(O) (M) 新北市永和區永和路二段30號 (食安登錄字號:F-124483673-00152-8),4.8,251
17,醇滷味 (澎湖馬公店),https://www.foodpanda.com.tw/restaurant/q3vf/chun-lu-wei-peng-hu-ma-gong-dian,https://images.deliveryhero.io/image/fd-tw/LH/q3vf-listing.jpg,(△)澎湖縣馬公市治平路14號,4.1,68
18,米亞雞蛋糕,https://www.foodpanda.com.tw/restaurant/j3lp/mi-ya-ji-dan-gao,https://images.deliveryhero.io/image/fd-tw/LH/j3lp-listing.jpg,(△)澎湖縣馬公市北辰街20號,4.7,18
19,元濟廚房,https://www.foodpanda.com.tw/restaurant/nztc/yuan-ji-chu-fang,https://images.deliveryhero.io/image/fd-tw/LH/nztc-listing.jpg,(△)澎湖縣馬公市民族路47號,4.2,5
20,麥味登 (澎湖石泉店),https://www.foodpanda.com.tw/restaurant/d7ky/mai-wei-deng-peng-hu-shi-quan-dian,https://images.deliveryhero.io/image/fd-tw/LH/d7ky-listing.jpg,(△) 澎湖縣馬公市石泉里1-18號,4.8,1440
21,澎湖湯包王,https://www.foodpanda.com.tw/restaurant/f9kb/peng-hu-tang-bao-wang,https://images.deliveryhero.io/image/fd-tw/LH/f9kb-listing.jpg,(△) 澎湖縣馬公市光復路295號,4.6,78
22,in89 injoey,https://www.foodpanda.com.tw/chain/cl4ks/in89-injoey,https://images.deliveryhero.io/image/fd-tw/LH/r8eu-listing.jpg,(O)澎湖縣馬公市同和路158號4樓,3.7,4
23,了不起茶飲,https://www.foodpanda.com.tw/chain/ch5gz/liao-bu-qi-cha-yin,https://images.deliveryhero.io/image/fd-tw/LH/c3uv-listing.jpg,(O)澎湖縣馬公市光復路243號,4.5,21
24,麻辣姥姥,https://www.foodpanda.com.tw/restaurant/e0bc/ma-la-mu-mu,https://images.deliveryhero.io/image/fd-tw/LH/e0bc-listing.jpg,(△) 澎湖縣馬公市陽明路182號,4.3,267
25,壹咖啡 (澎湖馬公店),https://www.foodpanda.com.tw/restaurant/l2dd/yi-ka-pei-peng-hu-ma-gong-dian,https://images.deliveryhero.io/image/fd-tw/LH/l2dd-listing.jpg,(O)澎湖縣馬公市臨海路32號,4.7,280
26,天津(包料)蔥抓餅,https://www.foodpanda.com.tw/restaurant/k7fg/tian-jin-bao-liao-cong-zhua-bing,https://images.deliveryhero.io/image/fd-tw/LH/k7fg-listing.jpg,(△)澎湖縣馬公市三多路36之3號,4.7,89
27,京蒲和食,https://www.foodpanda.com.tw/restaurant/dv9v/jing-pu-he-shi,https://images.deliveryhero.io/image/fd-tw/LH/dv9v-listing.jpg,(△)澎湖縣馬公市光復路174號,4.7,50
28,提樂茶飲店,https://www.foodpanda.com.tw/restaurant/e0ii/ti-le-cha-yin-dian,https://images.deliveryhero.io/image/fd-tw/LH/e0ii-listing.jpg,(O) 澎湖縣馬公市長安里中正路73號,4.8,485
29,ㄚ咘 の甜蜜食堂,https://www.foodpanda.com.tw/restaurant/p6ns/abu-notian-mi-shi-tang,https://images.deliveryhero.io/image/fd-tw/LH/p6ns-listing.jpg,(△)澎湖縣馬公市仁愛路16-2號,4.4,34
30,澎湖煎餅-素食的山珍海味,https://www.foodpanda.com.tw/restaurant/r1py/peng-hu-jian-bing-su-shi-de-shan-zhen-hai-wei,https://images.deliveryhero.io/image/fd-tw/LH/r1py-listing.jpg,(△)澎湖縣馬公市民權路70之2號,4.5,15
31,石泉火雞肉飯,https://www.foodpanda.com.tw/restaurant/g0wv/shi-quan-huo-ji-rou-fan,https://images.deliveryhero.io/image/fd-tw/LH/g0wv-listing.jpg,(△)澎湖縣馬公市石泉里1-20號,4.5,147
32,發樂滷味,https://www.foodpanda.com.tw/chain/cj3ge/fa-le-lu-wei,https://images.deliveryhero.io/image/fd-tw/LH/p8ao-listing.jpg,(△)澎湖縣馬公市民生路17號,4.5,15
33,赤坂拉麵 (澎湖3號港店),https://www.foodpanda.com.tw/restaurant/j6hv/chi-ban-la-mian-peng-hu-3hao-gang-dian,https://images.deliveryhero.io/image/fd-tw/LH/j6hv-listing.jpg,(O)澎湖縣馬公市同和路158號,4.7,5
34,牛霸王牛肉麵 (澎湖馬公店),https://www.foodpanda.com.tw/restaurant/n2cj/niu-ba-wang-niu-rou-mian-peng-hu-ma-gong-dian,https://images.deliveryhero.io/image/fd-tw/LH/n2cj-listing.jpg,(△)澎湖縣馬公市民權路61號,NA,0
35,永春小館,https://www.foodpanda.com.tw/restaurant/r0wx/yong-chun-xiao-guan,https://images.deliveryhero.io/image/fd-tw/LH/r0wx-listing.jpg,(△)澎湖縣馬公市仁愛路29號,4.6,46
36,仙人掌冰城,https://www.foodpanda.com.tw/restaurant/m3bg/xian-ren-zhang-bing-cheng,https://images.deliveryhero.io/image/fd-tw/LH/m3bg-listing.jpg,(△)澎湖縣馬公市中正路32之5號,5,3
37,菊色咖啡民宿,https://www.foodpanda.com.tw/restaurant/qge1/ju-se-ka-pei-min-su,https://images.deliveryhero.io/image/fd-tw/LH/qge1-listing.jpg,(△)澎湖縣馬公市朝陽路171號,5,1
38,覓食。密食,https://www.foodpanda.com.tw/restaurant/wjmr/mi-shi-mi-shi,https://images.deliveryhero.io/image/fd-tw/LH/wjmr-listing.jpg,(△)澎湖縣馬公市光明路36號,5,6
39,舒心食光,https://www.foodpanda.com.tw/restaurant/d6ot/shu-xin-shi-guang,https://images.deliveryhero.io/image/fd-tw/LH/d6ot-listing.jpg,(△) 澎湖縣馬公市三多路1巷2號,4.7,269
40,DiDihouse,https://www.foodpanda.com.tw/restaurant/d7eg/didihouse,https://images.deliveryhero.io/image/fd-tw/LH/d7eg-listing.jpg,(△) 澎湖縣馬公市文光路148號,4.6,369
41,太師傅便當專賣店,https://www.foodpanda.com.tw/chain/co2ag/shi-fu-bian-dang-zhuan-mai-dian-gao-xiong-gang-shan-dian,https://images.deliveryhero.io/image/fd-tw/LH/e1qe-listing.jpg,(O) 高雄市岡山區民有路73號,4.7,100
42,倈喜客日式蓋飯,https://www.foodpanda.com.tw/restaurant/o6hw/lai-xi-ke-ri-shi-gai-fan,https://images.deliveryhero.io/image/fd-tw/LH/o6hw-listing.jpg,(△)澎湖縣馬公市大仁街70號,4.5,208
43,紫光手搖飲,https://www.foodpanda.com.tw/restaurant/t7ck/zi-guang-shou-yao-yin,https://images.deliveryhero.io/image/fd-tw/LH/t7ck-listing.jpg,(△)澎湖縣馬公市大仁街14號,4,1
44,甘蔗泡,https://www.foodpanda.com.tw/restaurant/m7ke/gan-zhe-pao,https://images.deliveryhero.io/image/fd-tw/LH/m7ke-listing.jpg,(△)澎湖縣馬公市北辰街32號,4.8,27
45,嶼人鍋物 (澎湖3號港店),https://www.foodpanda.com.tw/restaurant/u4xh/yu-ren-guo-wu-peng-hu-3hao-gang-dian,https://images.deliveryhero.io/image/fd-tw/LH/u4xh-listing.jpg,(O)澎湖縣馬公市同和路158號,3.5,7
46,kasgo經典紅茶,https://www.foodpanda.com.tw/restaurant/g6ar/kasgojing-dian-hong-cha,https://images.deliveryhero.io/image/fd-tw/LH/g6ar-listing.jpg,(△)澎湖縣馬公市中華路34-3號,4.5,85
47,皮克廚房,https://www.foodpanda.com.tw/restaurant/m4bi/pi-ke-chu-fang,https://images.deliveryhero.io/image/fd-tw/LH/m4bi-listing.jpg,(△)澎湖縣馬公市中興路71號,4.7,53
48,福牡蠣屋,https://www.foodpanda.com.tw/restaurant/u6sc/fu-mu-li-wu,https://images.deliveryhero.io/image/fd-tw/LH/u6sc-listing.jpg,(△)澎湖縣馬公市中興路73號,4.6,65
49,外婆麵猴,https://www.foodpanda.com.tw/restaurant/v6eo/wai-po-mian-hou,https://images.deliveryhero.io/image/fd-tw/LH/v6eo-listing.jpg,(△)澎湖縣馬公市陽明路172號,4.6,118
50,摩斯漢堡,https://www.foodpanda.com.tw/chain/ca4mx/mo-si-han-bao,https://images.deliveryhero.io/image/fd-tw/LH/d7so-listing.jpg,(O) 台北市信義區忠孝東路五段629號1樓,4.7,880
51,鄒姊的粥,https://www.foodpanda.com.tw/restaurant/e8en/zou-zi-de-zhou,https://images.deliveryhero.io/image/fd-tw/LH/e8en-listing.jpg,(△) 澎湖縣馬公市民權路12號,4.5,56
52,男子漢鐵板料理,https://www.foodpanda.com.tw/restaurant/s0ju/nan-zi-han-tie-ban-liao-li,https://images.deliveryhero.io/image/fd-tw/LH/s0ju-listing.jpg,(△) 澎湖縣馬公市中華路64號,4.6,88
53,台北江麻辣臭豆腐專賣舖 (澎湖安靚店),https://www.foodpanda.com.tw/restaurant/k7yg/tai-bei-jiang-ma-la-chou-dou-fu-zhuan-mai-pu-peng-hu-an-jing-dian,https://images.deliveryhero.io/image/fd-tw/LH/k7yg-listing.jpg,(△)澎湖縣馬公市陽明路72號,4.7,172
