id,name,link,pic_url,location,rating,count
1,福勝町宵夜,https://www.foodpanda.com.tw/restaurant/r9cu/fu-sheng-ting-xiao-ye,https://images.deliveryhero.io/image/fd-tw/LH/r9cu-listing.jpg,(△)屏東縣內埔鄉學人路505號,4.7,127
2,調色杯 (屏東內埔店),https://www.foodpanda.com.tw/restaurant/e3nb/diao-se-bei-ping-dong-nei-bu-dian,https://images.deliveryhero.io/image/fd-tw/LH/e3nb-listing.jpg,(△) 屏東縣內埔鄉學人路493號,4.8,287
3,八年得麻辣專門店 (屏東內埔店),https://www.foodpanda.com.tw/restaurant/e6ey/ba-nian-de-ma-la-zhuan-men-dian-ping-dong-nei-bu-dian,https://images.deliveryhero.io/image/fd-tw/LH/e6ey-listing.jpg,(△) 屏東縣內埔鄉學人路392-1號,4.6,201
4,歐喀醬咖哩/丼飯美和店,https://www.foodpanda.com.tw/restaurant/e7ke/ou-ke-jiang-ka-li-jing-fan-mei-he-dian,https://images.deliveryhero.io/image/fd-tw/LH/e7ke-listing.jpg,(△) 屏東縣內埔鄉德美路380號,4.6,356
5,米克斯咖啡茶飲,https://www.foodpanda.com.tw/restaurant/t5nn/mi-ke-si-ka-pei-cha-yin,https://images.deliveryhero.io/image/fd-tw/LH/t5nn-listing.jpg,(△)屏東縣林邊鄉鎮安村永和路71號,5,4
6,21金小火鍋 (屏東內埔店),https://www.foodpanda.com.tw/restaurant/i8kl/21jin-xiao-huo-guo-ping-dong-nei-bu-dian,https://images.deliveryhero.io/image/fd-tw/LH/i8kl-listing.jpg,(△)屏東縣內埔鄉學人路640-2號,4.8,194
7,唐禹夏風味食堂,https://www.foodpanda.com.tw/restaurant/e2he/tang-yu-xia-feng-wei-shi-tang,https://images.deliveryhero.io/image/fd-tw/LH/e2he-listing.jpg,(△) 屏東縣內埔鄉學興路130巷116號,4.6,56
8,萊家脆皮雞蛋糕,https://www.foodpanda.com.tw/chain/ck7uu/lai-jia-cui-pi-ji-dan-gao,https://images.deliveryhero.io/image/fd-tw/LH/e1nl-listing.jpg,(△)屏東縣內埔鄉老埤村壽比路738號,4.5,90
9,吳家紅茶冰 (高雄總店),https://www.foodpanda.com.tw/chain/cq7xn/wu-jia-hong-cha-bing-gao-xiong-zong-dian,https://images.deliveryhero.io/image/fd-tw/LH/du3k-listing.jpg,(△)高雄市鳳山區力行路27號,5,7
10,幸福餐車,https://www.foodpanda.com.tw/restaurant/f3qt/xing-fu-can-che,https://images.deliveryhero.io/image/fd-tw/LH/f3qt-listing.jpg,(△)屏東縣內埔鄉學興路230號,4.5,150
