id,name,link,pic_url,location,rating,count
1,歐雞鹽酥雞,https://www.foodpanda.com.tw/restaurant/u5ty/ou-ji-yan-su-ji,https://images.deliveryhero.io/image/fd-tw/LH/u5ty-listing.jpg,(△)台中市西區美村路一段61號,4.5,120
2,八方雲集 (台中模範店),https://www.foodpanda.com.tw/restaurant/d7zc/ba-fang-yun-ji-tai-zhong-mo-fan-dian,https://images.deliveryhero.io/image/fd-tw/LH/d7zc-listing.jpg,(O) 台中市西區模範街29號,4.6,212
3,唐太盅養生燉品甜湯,https://www.foodpanda.com.tw/chain/cj8cf/tang-tai-zhong-yang-sheng-dun-pin-tian-tang,https://images.deliveryhero.io/image/fd-tw/LH/w7ll-listing.jpg,(O) (M) 台中市西區台灣大道二段161號,4.6,641
4,珍來拉麵,https://www.foodpanda.com.tw/restaurant/y4ws/zhen-lai-la-mian,https://images.deliveryhero.io/image/fd-tw/LH/y4ws-listing.jpg,(△) (M) 台中市西區英才路408號,4.4,244
5,派克雞排 (篤行店),https://www.foodpanda.com.tw/restaurant/bymf/pai-ke-ji-pai-du-xing-dian,https://images.deliveryhero.io/image/fd-tw/LH/bymf-listing.jpg,(△)台中市北區篤行路255號1樓,4.7,71
6,植作茶 (台中金典店),https://www.foodpanda.com.tw/restaurant/z1ra/zhi-zuo-cha-tai-zhong-jin-dian-dian,https://images.deliveryhero.io/image/fd-tw/LH/z1ra-listing.jpg,(△) 台中市西區健行路1049號金典綠園道3F-第六市場,4.7,225
7,便當家‧三媽臭臭鍋 (台中SOGO店),https://www.foodpanda.com.tw/restaurant/e2qz/bian-dang-jia-san-ma-chou-chou-guo-tai-zhong-sogodian,https://images.deliveryhero.io/image/fd-tw/LH/e2qz-listing.jpg,(△) 台中市西區明義街5號,4.5,197
8,公益麵攤,https://www.foodpanda.com.tw/chain/cx6mq/gong-yi-mian-tan,https://images.deliveryhero.io/image/fd-tw/LH/y3cn-listing.jpg,(△) (M) 台中市西區公益路162號,4.5,2839
9,醬牛燒肉便當 (台中博館店),https://www.foodpanda.com.tw/restaurant/d1cs/jiang-niu-shao-rou-bian-dang-tai-zhong-bo-guan-dian,https://images.deliveryhero.io/image/fd-tw/LH/d1cs-listing.jpg,(△) 台中市西區博館路133號,4.7,171
10,大俠綠豆沙,https://www.foodpanda.com.tw/chain/ct2kz/da-xia-lu-dou-sha,https://images.deliveryhero.io/image/fd-tw/LH/y5ve-listing.jpg,(△) (M) 台中市西區精誠路27號,4.8,603
