category,name,price,id
肉類,無骨鹽酥雞,60.0,1
肉類,雞排,75.0,1
肉類,三角骨,60.0,1
肉類,深海魷魚,60.0,1
肉類,黃金雞軟骨,60.0,1
肉類,雞脖子,40.0,1
肉類,雞翅膀,35.0,1
肉類,雞皮,55.0,1
肉類,雞米花,45.0,1
肉類,牛肉串,50.0,1
肉類,豬肉串,50.0,1
肉類,柳葉魚,60.0,1
肉類,雞胸骨,20.0,1
肉類,龍珠,60.0,1
肉類,脆皮肥腸,125.0,1
肉類,雞塊,50.0,1
蔬菜,高麗菜,45.0,1
蔬菜,花椰菜,45.0,1
蔬菜,金針菇,45.0,1
蔬菜,杏鮑菇,45.0,1
蔬菜,鮮香菇,45.0,1
蔬菜,四季豆,45.0,1
蔬菜,青椒,45.0,1
蔬菜,大玉米,45.0,1
蔬菜,玉米筍,45.0,1
蔬菜,小黃瓜,45.0,1
串類,雞屁股,45.0,1
串類,雞肫,40.0,1
串類,雞心,40.0,1
串類,培根肉串,50.0,1
串類,手工花枝丸,40.0,1
串類,貢丸,40.0,1
其他,洋蔥圈,50.0,1
其他,雞蛋豆腐,60.0,1
其他,甜不辣,40.0,1
其他,鱈魚板,40.0,1
其他,糯米腸,25.0,1
其他,薯條,45.0,1
其他,地瓜條,45.0,1
其他,蘿蔔糕,40.0,1
其他,米血糕,40.0,1
其他,芋頭糕【鹹】,40.0,1
其他,芋頭糕【甜】,40.0,1
其他,枕頭豆干,40.0,1
其他,百頁豆腐,40.0,1
其他,五彩湯圓,40.0,1
其他,炸皮蛋,25.0,1
其他,黃金豆皮,40.0,1
其他,蝦捲,45.0,1
其他,小熱狗,40.0,1
其他,拔絲起司條,60.0,1
其他,黃金芋泥球,50.0,1
其他,花枝燒,50.0,1
其他,爆漿鮭魚卵,60.0,1
其他,炸Oreo,50.0,1
其他,手工芋頭餅,40.0,1
其他,薯餅,20.0,1
其他,銀絲卷,50.0,1
其他,月亮蝦餅,55.0,1
其他,炸麻糬,50.0,1
飲品,可樂,25.0,1
飲品,雪碧,25.0,1
鍋貼,招牌鍋貼,68.0,2
鍋貼,韭菜鍋貼,72.0,2
鍋貼,韓式辣味鍋貼,72.0,2
鍋貼,咖哩鍋貼,72.0,2
鍋貼,玉米鍋貼,72.0,2
鍋貼,田園雞肉鍋貼,72.0,2
鍋貼,新蔬食鍋貼,75.0,2
水餃,招牌水餃,68.0,2
水餃,韭菜水餃,72.0,2
水餃,韓式辣味水餃,72.0,2
水餃,咖哩水餃,72.0,2
水餃,玉米水餃,72.0,2
水餃,田園雞肉水餃,72.0,2
水餃,新蔬食水餃,75.0,2
水餃,鮮蝦水餃,85.0,2
湯餃,酸辣湯餃【招牌水餃】,95.0,2
湯餃,玉米湯餃【招牌水餃】,95.0,2
乾麵,古早味乾麵,45.0,2
乾麵,麻醬乾麵,55.0,2
乾麵,招牌乾麵【微辣】,55.0,2
乾麵,紹辣乾麵【辣】,60.0,2
湯麵,古早味湯麵,45.0,2
湯麵,酸辣湯麵,65.0,2
湯麵,珍珠餛飩麵,70.0,2
湯麵,菜肉大餛飩麵,85.0,2
湯麵,榨菜肉絲麵,85.0,2
湯麵,紹辣珍珠餛飩麵【辣】,85.0,2
湯麵,紹辣菜肉大餛飩麵【辣】,95.0,2
湯品,酸辣湯,40.0,2
湯品,玉米濃湯,40.0,2
湯品,旗魚花枝丸湯,40.0,2
湯品,蕈菇湯,40.0,2
湯品,蘿蔔排骨湯,45.0,2
湯品,珍珠餛飩湯,50.0,2
湯品,菜肉大餛飩湯,65.0,2
抄手,珍珠抄手,65.0,2
抄手,菜肉大抄手,85.0,2
小菜,滷蛋,15.0,2
小菜,黃金豆腐,40.0,2
小菜,燉蘿蔔,40.0,2
小菜,燙青菜,40.0,2
小菜,皮蛋豆腐,35.0,2
小菜,家常小菜,35.0,2
小菜,黃金泡菜,35.0,2
小菜,韓式泡菜,35.0,2
小菜,台式泡菜,35.0,2
小菜,薄鹽毛豆,35.0,2
飲品,白豆漿,20.0,2
飲品,無糖豆漿,20.0,2
飲品,黑豆漿,20.0,2
飲品,真傳特調紅茶,20.0,2
飲品,寒天真傳特調紅茶,50.0,2
養生套餐,時珍套餐,350.0,3
麵膳,麻油燉雞麵線,200.0,3
麵膳,黑蒜燉雞麵線,200.0,3
麵膳,藥膳豬腳麵線,200.0,3
麵膳,當歸藥膳麵線,200.0,3
盅品,麻油燉雞盅,168.0,3
盅品,四物燉雞盅,168.0,3
盅品,當歸藥膳盅,168.0,3
盅品,狗尾草燉雞盅,168.0,3
盅品,南洋肉骨茶盅,168.0,3
盅品,人參糯米雞盅,168.0,3
盅品,十全藥膳豬腳,168.0,3
盅品,十全藥膳排骨,168.0,3
盅品,何首烏燉雞盅,168.0,3
盅品,黑蒜頭燉雞盅,168.0,3
盅品,胡椒豬肚雞盅,168.0,3
膳食,養生藥膳麵線,68.0,3
膳食,麻油香菇米糕,68.0,3
蔬膳,川燙蔬膳,68.0,3
甜湯,紅豆桂圓紫米粥,128.0,3
甜湯,寒天枸杞黑木耳,148.0,3
甜湯,雪蓮子燉四寶湯,158.0,3
甜湯,雪蛤人參燉雪耳,188.0,3
甜品,芝麻糊,128.0,3
甜品,杏仁糊,128.0,3
甜品,龜苓膏,128.0,3
茶飲,決明菊花飲,168.0,3
茶飲,怯濕養生茶,168.0,3
茶飲,蔘鬚杞菊茶,168.0,3
茶飲,肉桂薑糖茶,168.0,3
茶飲,醒腦明目飲,168.0,3
茶飲,紅顏溫陽飲,168.0,3
茶飲,生脈益氣飲,168.0,3
茶飲,補氣養顏飲,168.0,3
茶飲,養神明目茶,168.0,3
茶飲,益氣保元飲,200.0,3
人氣精選,日式炸雞腿肉塊,220.0,4
人氣精選,麻辣蔥味噌叉燒拉麵,200.0,4
人氣精選,珍來拉麵,195.0,4
人氣精選,勝丼飯,150.0,4
人氣精選,煎餃,65.0,4
麵類,拉麵,120.0,4
麵類,叉燒拉麵,170.0,4
麵類,玉米拉麵,130.0,4
麵類,海帶拉麵,140.0,4
麵類,五目拉麵,145.0,4
麵類,廣東風味麵,140.0,4
麵類,野菜拉麵,140.0,4
麵類,味噌拉麵,140.0,4
麵類,味噌叉燒拉麵,190.0,4
麵類,麻辣蔥拉麵,130.0,4
麵類,燒肉拉麵,170.0,4
麵類,麻婆拉麵,140.0,4
麵類,天津麵,170.0,4
麵類,蝦仁拉麵,180.0,4
麵類,炸醬麵,130.0,4
麵類,大蒜拌麵,130.0,4
麵類,日式炒麵,140.0,4
麵類,炸麵,170.0,4
麵類,咖哩拉麵,160.0,4
麵類,麻辣蔥味噌拉麵,150.0,4
麵類,麻辣蔥叉燒拉麵,180.0,4
飯類,叉燒炒飯,120.0,4
飯類,蝦仁炒飯,130.0,4
飯類,中華丼飯,140.0,4
飯類,親子丼飯,150.0,4
飯類,天津丼飯,170.0,4
飯類,白飯,15.0,4
飯類,日式咖哩飯,160.0,4
飯類,鰻魚丼飯,300.0,4
飯類,炸蝦丼飯,220.0,4
飯類,鯖魚丼飯,160.0,4
飯類,燒肉丼飯,170.0,4
飯類,麻婆丼飯,140.0,4
定食,日式炸雞腿肉定食,210.0,4
定食,回鍋肉定食,210.0,4
定食,生薑燒肉定食,200.0,4
定食,八寶菜定食,210.0,4
定食,芙蓉蛋定食,200.0,4
定食,干燒蝦仁定食,240.0,4
定食,洋蔥炒肉定食,190.0,4
定食,麻婆豆腐定食,170.0,4
定食,麻婆茄子定食,180.0,4
定食,醬爆茄子定食,190.0,4
定食,麻辣雞丁定食,190.0,4
定食,醬爆雞丁定食,190.0,4
定食,腰果雞丁定食,210.0,4
定食,鮭魚定食,190.0,4
定食,咕咾肉定食,210.0,4
單點系列,炒青菜,110.0,4
單點系列,青菜炒肉,135.0,4
單點系列,韭菜炒豬肝,130.0,4
單點系列,回鍋肉,210.0,4
單點系列,生薑燒肉,200.0,4
單點系列,八寶菜,210.0,4
單點系列,芙蓉蛋,200.0,4
單點系列,干燒蝦仁,240.0,4
單點系列,洋蔥炒肉,190.0,4
單點系列,韭菜炒蛋,120.0,4
單點系列,麻婆豆腐,170.0,4
單點系列,麻婆茄子,180.0,4
單點系列,醬爆茄子,190.0,4
單點系列,麻辣雞丁,190.0,4
單點系列,醬爆雞丁,190.0,4
單點系列,腰果雞丁,210.0,4
單點系列,鰻魚,260.0,4
單點系列,清蒸鯛魚,180.0,4
單點系列,糖醋鯛魚片,210.0,4
單點系列,日式炸鮭魚,180.0,4
單點系列,日式炸豬排,120.0,4
單點系列,日式炸蝦,250.0,4
單點系列,叉燒,190.0,4
單點系列,燒賣,65.0,4
單點系列,咕咾肉,210.0,4
單點系列,煎餃,65.0,4
湯類,蛋花湯,70.0,4
湯類,五目湯,100.0,4
湯類,味噌湯,70.0,4
小菜類,皮蛋豆腐,45.0,4
小菜類,毛豆,45.0,4
小菜類,韓國泡菜,45.0,4
小菜類,麻辣豆干,45.0,4
熱門餐點專區,米血 X2,25.0,5
飲料區,可口可樂,35.0,5
套餐,脆皮雞排1號餐,110.0,5
套餐,脆皮鮮魷1號餐,105.0,5
套餐,脆皮無骨雞塊1號餐,105.0,5
套餐,脆皮雞排2號餐,135.0,5
套餐,脆皮無骨雞塊2號餐,130.0,5
套餐,脆皮鮮魷2號餐,130.0,5
單點區,脆皮鮮魷,70.0,5
單點區,脆皮無骨雞塊,70.0,5
單點區,脆皮薯條,35.0,5
單點區,細薯,35.0,5
單點區,地瓜條,35.0,5
單點區,起司條,35.0,5
單點區,甜不辣,35.0,5
單點區,洋蔥圈,35.0,5
單點區,百頁豆腐,35.0,5
單點區,花枝丸,30.0,5
單點區,貢丸,25.0,5
單點區,米血,25.0,5
單點區,米腸,25.0,5
單點區,小熱狗,20.0,5
單點區,杏鮑菇,35.0,5
單點區,花生湯圓,35.0,5
單點區,芝麻湯圓,35.0,5
單點區,玉米布丁酥,35.0,5
單點區,山藥地瓜球,25.0,5
單點區,黃金芋泥球,25.0,5
單點區,酥炸芋頭餅,35.0,5
豆中之王,招牌黑豆茶,24.5,6
豆中之王,黑豆茶鮮奶,38.5,6
豆中之王,黑茶露,31.5,6
輕盈茶,玄米茶,24.5,6
輕盈茶,玄米茶露,31.5,6
輕盈茶,玄米茶鮮奶,38.5,6
閨蜜之旅,萬丹紅豆茶,31.5,6
閨蜜之旅,紅豆茶鮮奶,45.5,6
閨蜜之旅,紅豆茶露,38.5,6
小米瘀青了,紫米茶,28.0,6
小米瘀青了,紫米茶鮮奶,42.0,6
小米瘀青了,紫米茶露,35.0,6
好冬冬,黑糖冬瓜茶,21.0,6
好冬冬,冬瓜檸檬,31.5,6
好冬冬,冬瓜鮮奶,38.5,6
好冬冬,輕檸飲,24.5,6
視覺系,炭焙決明子,24.5,6
