id,name,link,pic_url,location,rating,count
1,小時候手作甜湯,https://www.foodpanda.com.tw/restaurant/z6ve/xiao-shi-hou-shou-zuo-tian-tang,https://images.deliveryhero.io/image/fd-tw/LH/z6ve-listing.jpg,(△) 台南市永康區中華路398號,4.7,642
2,輕食物語2.0,https://www.foodpanda.com.tw/restaurant/z1sd/qing-shi-wu-yu-2-0,https://images.deliveryhero.io/image/fd-tw/LH/z1sd-listing.jpg,(△) 台南市永康區中華路212巷46號,4.7,225
3,呷八方食坊,https://www.foodpanda.com.tw/restaurant/t0si/xia-ba-fang-shi-fang,https://images.deliveryhero.io/image/fd-tw/LH/t0si-listing.jpg,(△)台南市東區東安路225號,4.4,175
4,貓前輩 早午餐店,https://www.foodpanda.com.tw/restaurant/a3ef/mao-qian-bei-zao-wu-can-dian,https://images.deliveryhero.io/image/fd-tw/LH/a3ef-listing.jpg,(△) 台南市永康區勝學路235號,4.4,206
5,瑪奇甜甜圈,https://www.foodpanda.com.tw/restaurant/z7yj/ma-qi-tian-tian-quan,https://images.deliveryhero.io/image/fd-tw/LH/z7yj-listing.jpg,(△) 台南市北區開元路233號1樓,4.6,57
6,RW Coffee,https://www.foodpanda.com.tw/restaurant/z0us/rw-coffee,https://images.deliveryhero.io/image/fd-tw/LH/z0us-listing.jpg,(△) 台南市東區東興路4號,4.9,314
7,大豐麵店,https://www.foodpanda.com.tw/restaurant/a0ea/da-feng-mian-dian,https://images.deliveryhero.io/image/fd-tw/LH/a0ea-listing.jpg,(△) 台南市永康區小東路685巷3號,4.3,88
8,怡東103特製沙茶魷魚羹,https://www.foodpanda.com.tw/restaurant/x3xw/yi-dong-103te-zhi-sha-cha-you-yu-geng,https://images.deliveryhero.io/image/fd-tw/LH/x3xw-listing.jpg,(△)台南市東區怡東路103號,4.6,243
9,紅蔥頭排骨酥麵 (台南永康勝利店),https://www.foodpanda.com.tw/restaurant/z4vd/hong-cong-tou-pai-gu-su-mian-tai-nan-yong-kang-sheng-li-dian,https://images.deliveryhero.io/image/fd-tw/LH/z4vd-listing.jpg,(△) 台南市永康區勝利街92-1號 (食安登錄字號:D-200145054-00000-1),4.6,875
10,C果多＿果汁專賣,https://www.foodpanda.com.tw/chain/ck0hy/cguo-duo-_guo-zhi-zhuan-mai,https://images.deliveryhero.io/image/fd-tw/LH/k2tc-listing.jpg,(△) 台南市南區大同路二段124號,4.8,27
