category,name,price,id
大正小火鍋,麻辣鴨血豆腐湯頭,170.0,1
大正小火鍋,大腸臭臭湯頭,170.0,1
大正小火鍋,台式泡菜豆腐湯頭,170.0,1
大正小火鍋,西式番茄蔬菜湯頭,170.0,1
老饕特選,老饕清燉牛肉麵,320.0,2
老饕特選,老饕清燉半筋半肉牛肉麵,340.0,2
老饕特選,老饕清燉牛雜麵,340.0,2
老饕特選,老饕清燉牛三寶,380.0,2
老饕特選,老饕紅燒牛肉麵,320.0,2
老饕特選,老饕紅燒半筋半肉牛肉麵,340.0,2
老饕特選,老饕紅燒牛雜麵,340.0,2
老饕特選,老饕紅燒牛三寶,380.0,2
老饕特選,老饕番茄牛肉麵,340.0,2
老饕特選,老饕番茄半筋半肉牛肉麵,360.0,2
老饕特選,老饕番茄牛雜麵,360.0,2
老饕特選,老饕番茄牛三寶,400.0,2
老饕特選,老饕麻辣半筋半肉牛肉麵,360.0,2
老饕特選,老饕麻辣牛雜麵,360.0,2
老饕特選,老饕麻辣牛三寶,400.0,2
湯麵類,清燉牛肉麵,220.0,2
湯麵類,清燉半筋半肉牛肉麵,240.0,2
湯麵類,清燉牛雜麵,240.0,2
湯麵類,清燉牛三寶,280.0,2
湯麵類,紅燒牛肉麵,220.0,2
湯麵類,紅燒半筋半肉牛肉麵,240.0,2
湯麵類,紅燒牛雜麵,240.0,2
湯麵類,紅燒牛三寶,280.0,2
湯麵類,番茄牛肉麵,240.0,2
湯麵類,番茄半筋半肉牛肉麵,260.0,2
湯麵類,番茄牛雜麵,280.0,2
湯麵類,番茄牛三寶,320.0,2
湯麵類,麻辣牛肉麵,240.0,2
湯麵類,麻辣半筋半肉牛肉麵,260.0,2
湯麵類,麻辣牛雜麵,280.0,2
湯麵類,麻辣牛三寶,320.0,2
牛肉乾拌麵,牛肉炸醬麵,160.0,2
牛肉乾拌麵,麻辣牛肉乾拌麵,240.0,2
餃子,豬肉玉米湯餃,160.0,2
餃子,牛肉湯餃,240.0,2
香辣類,香辣臭豆腐【2塊】,64.0,3
香辣類,香辣鴨血,64.0,3
香辣類,香辣臭豆腐鴨血,64.0,3
腸旺類,腸旺臭豆腐,80.0,3
腸旺類,腸旺鴨血,80.0,3
腸旺類,腸旺臭豆鴨血,80.0,3
招牌類,香酥臭豆腐,48.0,3
主食配主餐類,香辣臭豆腐,60.0,3
主食配主餐類,香辣鴨血,60.0,3
主食配主餐類,香辣臭豆腐鴨血,80.0,3
主食配主餐類,腸旺臭豆腐,80.0,3
主食配主餐類,腸旺鴨血,80.0,3
主食配主餐類,腸旺臭豆鴨血,96.0,3
主食配主餐類,全家福,104.0,3
套餐,烤肉飯套餐,88.0,3
套餐,烤肉飯、香辣臭豆腐套餐,120.0,3
套餐,烤肉飯、香辣鴨血套餐,120.0,3
套餐,烤肉飯、腸旺臭豆腐鴨血套餐,144.0,3
湯圓,彩虹湯圓,180.0,4
湯圓,五彩湯圓,110.0,4
湯圓,雙拼湯圓+彩虹小湯圓,75.0,4
湯圓,黑糖彩虹小湯圓,55.0,4
湯圓,黑糖彩虹紅豆小湯圓,55.0,4
其他,Q嫩仙草凍,45.0,4
其他,黑糖紅豆湯,55.0,4
其他,萬丹紅豆水,40.0,4
其他,關西仙草茶,50.0,4
其他,桂花酸梅湯,110.0,4
套餐,主廚炸雞堡套餐,310.0,5
套餐,大艾爾經典堡套餐,310.0,5
套餐,瑞士起司蘑菇牛肉堡套餐,330.0,5
套餐,原味熱狗套餐,220.0,5
套餐,經典雙重起司熱狗套餐,240.0,5
套餐,酪梨熱狗套餐,240.0,5
單點,秘製炸雞,220.0,5
單點,原味薯條,160.0,5
飲品,草莓奶昔,160.0,5
飲品,香蕉奶昔,160.0,5
飲品,巧克力奶昔,160.0,5
飲品,鹹焦糖花生奶昔,160.0,5
飲品,巧克力餅乾奶昔,160.0,5
飲品,可樂,50.0,5
飲品,雪碧,50.0,5
精緻餐點,鴨翅,120.0,6
精緻餐點,雞翅,110.0,6
