id,name,link,pic_url,location,rating,count
1,小紅魔美式炸雞,https://www.foodpanda.com.tw/chain/cq6pv/xiao-hong-mo-mei-shi-zha-ji,https://images.deliveryhero.io/image/fd-tw/LH/u8vv-listing.jpg,(△)台東縣台東市中興路四段466號,4.4,123
2,3Q脆皮雞排 (台東豐田店),https://www.foodpanda.com.tw/restaurant/q2br/3qcui-pi-ji-pai-tai-dong-feng-tian-dian,https://images.deliveryhero.io/image/fd-tw/LH/q2br-listing.jpg,(△)台東縣台東市中興路四段494號,4.6,251
3,戰鬥雞,https://www.foodpanda.com.tw/chain/cl1lq/zhan-dou-ji,https://images.deliveryhero.io/image/fd-tw/LH/utfi-listing.jpg,(△) 新北市板橋區南雅東路9號,4.5,8
4,天地人手創料理,https://www.foodpanda.com.tw/restaurant/e0ny/tian-di-ren-shou-chuang-liao-li,https://images.deliveryhero.io/image/fd-tw/LH/e0ny-listing.jpg,(O) 台東縣台東市鐵花路129號,4.6,128
5,豚將日本拉麵 (台東中華店),https://www.foodpanda.com.tw/restaurant/d5yf/tun-jiang-ri-ben-la-mian-tai-dong-zhong-hua-dian,https://images.deliveryhero.io/image/fd-tw/LH/d5yf-listing.jpg,(O) 台東縣台東市中華路一段742號,4.6,926
6,曾記脆皮臭豆腐 (台東脆皮創始店),https://www.foodpanda.com.tw/restaurant/qwos/ceng-ji-cui-pi-chou-dou-fu-tai-dong-cui-pi-chuang-shi-dian,https://images.deliveryhero.io/image/fd-tw/LH/qwos-listing.jpg,(△)台東縣台東市精誠路197號,4.6,27
7,小曼咖啡,https://www.foodpanda.com.tw/restaurant/d7gs/xiao-man-ka-pei,https://images.deliveryhero.io/image/fd-tw/LH/d7gs-listing.jpg,(O) 台東縣台東市中華路一段376巷33號,4.7,74
8,叮哥 (台東商校店),https://www.foodpanda.com.tw/restaurant/d0rd/ding-ge-tai-dong-shang-xiao-dian,https://images.deliveryhero.io/image/fd-tw/LH/d0rd-listing.jpg,(O) 台東縣台東市正氣路453號,4.8,331
9,初。幸福現烤甜甜圈,https://www.foodpanda.com.tw/restaurant/yeq3/chu-xing-fu-xian-kao-tian-tian-quan,https://images.deliveryhero.io/image/fd-tw/LH/yeq3-listing.jpg,(△)台東縣台東市新生路168巷12號,4.9,51
10,叮哥茶飲 (台東東方店),https://www.foodpanda.com.tw/restaurant/d4dx/ding-ge-cha-yin-tai-dong-dong-fang-dian,https://images.deliveryhero.io/image/fd-tw/LH/d4dx-listing.jpg,(O) 台東縣台東市中興路二段402-1號,4.8,1166
11,鄭記火鍋,https://www.foodpanda.com.tw/restaurant/f1so/zheng-ji-huo-guo,https://images.deliveryhero.io/image/fd-tw/LH/f1so-listing.jpg,(△)台東縣台東市開封街435號,4.5,223
12,阿良麻辣水煮魚,https://www.foodpanda.com.tw/restaurant/s6tt/a-liang-ma-la-shui-zhu-yu,https://images.deliveryhero.io/image/fd-tw/LH/s6tt-listing.jpg,(△)台東縣台東市開封街594號,4.6,95
13,九州拉麵,https://www.foodpanda.com.tw/restaurant/b39n/jiu-zhou-la-mian,https://images.deliveryhero.io/image/fd-tw/LH/b39n-listing.jpg,(△)台東縣台東市中華路一段382號,4.6,109
14,Mister Donut,https://www.foodpanda.com.tw/chain/cl3ww/mister-donut,https://images.deliveryhero.io/image/fd-tw/LH/d1ur-listing.jpg,(O) 台北市信義區永吉里松山路11號1樓(松山火車站),4.8,371
15,一芳水果茶,https://www.foodpanda.com.tw/chain/ck8fp/yi-fang-shui-guo-cha,https://images.deliveryhero.io/image/fd-tw/LH/d5px-listing.jpg,(O) 桃園市中壢區長春路120號,4.8,609
16,順天堂十全藥燉排骨企業社(台東店),https://www.foodpanda.com.tw/restaurant/d0da/shun-tian-tang-shi-quan-yao-dun-pai-gu-qi-ye-she-tai-dong-dian,https://images.deliveryhero.io/image/fd-tw/LH/d0da-listing.jpg,(△) 台東縣台東市中華路一段838號,4.7,1922
17,花格格鍋の物,https://www.foodpanda.com.tw/restaurant/e2va/hua-ge-ge-guo-nowu,https://images.deliveryhero.io/image/fd-tw/LH/e2va-listing.jpg,(△) 台東縣台東市廣東路168號,3.7,50
18,叮哥茶飲 (台東新生店),https://www.foodpanda.com.tw/restaurant/e4ir/ding-ge-cha-yin-tai-dong-xin-sheng-dian,https://images.deliveryhero.io/image/fd-tw/LH/e4ir-listing.jpg,(O) 台東縣台東市新生路649號,4.7,340
19,法鬥杯杯雞蛋糕,https://www.foodpanda.com.tw/restaurant/s3lb/fa-dou-bei-bei-ji-dan-gao,https://images.deliveryhero.io/image/fd-tw/LH/s3lb-listing.jpg,(△)台東縣台東市杭州街191號,4.7,43
20,85度C,https://www.foodpanda.com.tw/chain/co3xj/85du-c-zhong-nan-bu,https://images.deliveryhero.io/image/fd-tw/LH/d5lg-listing.jpg,(O)宜蘭縣頭城鎮青雲路三段128號,4.8,986
