id,name,link,pic_url,location,rating,count
1,芋圓堂,https://www.foodpanda.com.tw/restaurant/k9aj/yu-yuan-tang,https://images.deliveryhero.io/image/fd-tw/LH/k9aj-listing.jpg,(△)桃園市桃園區中正路697號,4.4,215
2,義式就好,https://www.foodpanda.com.tw/restaurant/y3lp/yi-shi-jiu-hao,https://images.deliveryhero.io/image/fd-tw/LH/y3lp-listing.jpg,(△) (M) 桃園市桃園區正康二街149號 食品業者登錄字號：H-200115668-00000-3,4.6,487
3,SAM COFFEE,https://www.foodpanda.com.tw/restaurant/y9nj/sam-coffee,https://images.deliveryhero.io/image/fd-tw/LH/y9nj-listing.jpg,(△) (M) 桃園市桃園區中正五街219號 食品業者登錄字號：H-200142983-00000-3,4.2,117
4,鍋匠嚴選鍋物,https://www.foodpanda.com.tw/restaurant/b5vo/guo-jiang-yan-xuan-guo-wu,https://images.deliveryhero.io/image/fd-tw/LH/b5vo-listing.jpg,(△) 桃園市桃園區慈文路425號,4.6,966
5,樂釜食房,https://www.foodpanda.com.tw/restaurant/u6kl/le-fu-shi-fang,https://images.deliveryhero.io/image/fd-tw/LH/u6kl-listing.jpg,(△)桃園市桃園區埔新路151號,4.6,35
6,健康煮創意料理,https://www.foodpanda.com.tw/restaurant/d0ig/jian-kang-zhu-chuang-yi-liao-li,https://images.deliveryhero.io/image/fd-tw/LH/d0ig-listing.jpg,(△) 桃園市桃園區慈文路429號,4.7,717
7,香味軒美食館,https://www.foodpanda.com.tw/restaurant/u0bm/xiang-wei-xuan-mei-shi-guan,https://images.deliveryhero.io/image/fd-tw/LH/u0bm-listing.jpg,(△)桃園市桃園區長春路339號,4.5,150
8,清心福全 (桃園中正店),https://www.foodpanda.com.tw/restaurant/a1hg/qing-xin-fu-quan-tao-yuan-zhong-zheng-dian,https://images.deliveryhero.io/image/fd-tw/LH/a1hg-listing.jpg,(O) 桃園市桃園區中正路475號,4.8,2466
9,ML coffee 慕光咖啡工作室,https://www.foodpanda.com.tw/restaurant/o2sx/ml-coffee-mu-guang-ka-pei-gong-zuo-shi,https://images.deliveryhero.io/image/fd-tw/LH/o2sx-listing.jpg,(△)桃園市桃園區慈德街87號,4.8,40
10,有種味食堂,https://www.foodpanda.com.tw/restaurant/e2pg/you-zhong-wei-shi-tang,https://images.deliveryhero.io/image/fd-tw/LH/e2pg-listing.jpg,(△) 桃園市桃園區民安路60號 (食品業者登錄字號：H-182073682-00000-1),4.6,1059
11,魯十二 滷肉飯·燉品,https://www.foodpanda.com.tw/restaurant/d8aq/lu-shi-er-lu-rou-fan-dun-pin,https://images.deliveryhero.io/image/fd-tw/LH/d8aq-listing.jpg,(△) 桃園市桃園區中正路691號,4.5,923
12,小QQ雞蛋糕,https://www.foodpanda.com.tw/restaurant/g7vn/xiao-qqji-dan-gao,https://images.deliveryhero.io/image/fd-tw/LH/g7vn-listing.jpg,(△)桃園市桃園區中正路529號,4.5,125
13,18天小吃,https://www.foodpanda.com.tw/restaurant/b5et/18tian-xiao-chi,https://images.deliveryhero.io/image/fd-tw/LH/b5et-listing.jpg,(△) 桃園市桃園區正康二街161號,4.6,680
14,橘子食堂,https://www.foodpanda.com.tw/restaurant/y5vd/ju-zi-shi-tang,https://images.deliveryhero.io/image/fd-tw/LH/y5vd-listing.jpg,(△) (M) 桃園市桃園區慈光街110號,4.5,671
15,開運東山鴨頭,https://www.foodpanda.com.tw/chain/ce6lo/kai-yun-dong-shan-ya-tou,https://images.deliveryhero.io/image/fd-tw/LH/y2pa-listing.jpg,(△) (M) 桃園市桃園區正康二街174號,NA,0
16,吉本日式烤肉,https://www.foodpanda.com.tw/chain/cm2pq/ji-ben-ri-shi-kao-rou,https://images.deliveryhero.io/image/fd-tw/LH/g1vn-listing.jpg,(△)桃園市桃園區正康二街161號,3.5,16
17,金倈飲品-退火診療室 (桃園中正店),https://www.foodpanda.com.tw/restaurant/c0er/jin-lai-yin-pin-tui-huo-zhen-liao-shi-tao-yuan-zhong-zheng-dian,https://images.deliveryhero.io/image/fd-tw/LH/c0er-listing.jpg,(△)桃園市桃園區中正路684號,5,16
18,大將鍋燒意麵專賣店,https://www.foodpanda.com.tw/restaurant/a1e2/da-jiang-guo-shao-yi-mian-zhuan-mai-dian,https://images.deliveryhero.io/image/fd-tw/LH/a1e2-listing.jpg,(△)桃園市桃園區慈文路293號,4,7
19,Pusheen Cake 喵甜點,https://www.foodpanda.com.tw/restaurant/rwrc/pusheen-cake-miao-tian-dian,https://images.deliveryhero.io/image/fd-tw/LH/rwrc-listing.jpg,(△)桃園市桃園區中正路600號,4.6,6
20,無敵號赤肉大腸蚵仔麵線,https://www.foodpanda.com.tw/restaurant/x8lo/wu-di-hao-chi-rou-da-chang-he-zi-mian-xian,https://images.deliveryhero.io/image/fd-tw/LH/x8lo-listing.jpg,(△)桃園市桃園區民生路345號,4.6,165
21,茶大叔,https://www.foodpanda.com.tw/chain/cm4ly/cha-da-shu,https://images.deliveryhero.io/image/fd-tw/LH/d9hn-listing.jpg,(O) 桃園市桃園區中正路596號,4.7,446
