id,name,link,pic_url,location,rating,count
1,大八滷品簡餐,https://www.foodpanda.com.tw/restaurant/x0tm/da-ba-lu-pin-jian-can,https://images.deliveryhero.io/image/fd-tw/LH/x0tm-listing.jpg,(△)雲林縣斗六市南仁路51-5號,4.4,32
2,一碗青讚岐烏龍專賣店,https://www.foodpanda.com.tw/restaurant/f9w0/wan-qing-zan-qi-wu-long-zhuan-mai-dian,https://images.deliveryhero.io/image/fd-tw/LH/f9w0-listing.jpg,(△)雲林縣斗六市鎮北路175巷60號,NA,0
3,芷勻美食館,https://www.foodpanda.com.tw/restaurant/d0ie/zhi-yun-mei-shi-guan,https://images.deliveryhero.io/image/fd-tw/LH/d0ie-listing.jpg,(△) 雲林縣斗六市中堅西路12號,4.6,231
4,紫茵廚房,https://www.foodpanda.com.tw/restaurant/p1dr/zi-yin-chu-fang,https://images.deliveryhero.io/image/fd-tw/LH/p1dr-listing.jpg,(△)雲林縣斗六市後庄路2-29號,4.2,92
5,亞丁城,https://www.foodpanda.com.tw/restaurant/e9ze/ya-ding-cheng,https://images.deliveryhero.io/image/fd-tw/LH/e9ze-listing.jpg,(△) 雲林縣斗六市南京路386號,4,187
6,華逸香港餐廳,https://www.foodpanda.com.tw/restaurant/t0la/hua-yi-xiang-gang-can-ting,https://images.deliveryhero.io/image/fd-tw/LH/t0la-listing.jpg,(△)雲林縣斗六市建成路47號,3.8,155
7,中華鍋貼.水餃專賣店,https://www.foodpanda.com.tw/restaurant/d5cz/zhong-hua-guo-tie-shui-jiao-zhuan-mai-dian,https://images.deliveryhero.io/image/fd-tw/LH/d5cz-listing.jpg,(△) 雲林縣斗六市中華路219號,4.5,656
8,醬子美食餐廳,https://www.foodpanda.com.tw/restaurant/b4ps/jiang-zi-mei-shi-can-ting,https://images.deliveryhero.io/image/fd-tw/LH/b4ps-listing.jpg,(△) 雲林縣斗六市明德路103-1號,4.7,389
9,8特茶飲 (雲林斗六店),https://www.foodpanda.com.tw/restaurant/o7za/8te-cha-yin-yun-lin-dou-liu-dian,https://images.deliveryhero.io/image/fd-tw/LH/o7za-listing.jpg,(△)雲林縣斗六市南興街42號,4.7,508
10,春米六小籠湯包,https://www.foodpanda.com.tw/restaurant/b2pa/chun-mi-liu-xiao-long-tang-bao,https://images.deliveryhero.io/image/fd-tw/LH/b2pa-listing.jpg,(△) 雲林縣斗六市中華路160號,4.6,166
11,喜得炭火燒三明治 (雲林斗六上海店),https://www.foodpanda.com.tw/restaurant/a3jd/xi-de-tan-huo-shao-san-ming-zhi-yun-lin-dou-liu-shang-hai-dian,https://images.deliveryhero.io/image/fd-tw/LH/a3jd-listing.jpg,(△) 雲林縣斗六市上海路146號 (食安登錄字號:P-153633497-00078-8),4.8,703
12,早安山丘 (斗六文化店),https://www.foodpanda.com.tw/restaurant/b0tl/zao-an-shan-qiu-dou-liu-wen-hua-dian,https://images.deliveryhero.io/image/fd-tw/LH/b0tl-listing.jpg,(△) 雲林縣斗六市文化路98號,4.6,385
13,翻滾鴉甘草芭樂,https://www.foodpanda.com.tw/restaurant/a2mt/fan-gun-ya-gan-cao-ba-le,https://images.deliveryhero.io/image/fd-tw/LH/a2mt-listing.jpg,(△) 雲林縣斗六市北祥街48號 雲林縣斗六市 640,4.7,214
14,楊家私房點心,https://www.foodpanda.com.tw/restaurant/t7bg/yang-jia-si-fang-dian-xin,https://images.deliveryhero.io/image/fd-tw/LH/t7bg-listing.jpg,(△)雲林縣斗六市建成路59巷2號巷口,4.6,75
15,永哥茶飲,https://www.foodpanda.com.tw/restaurant/a2fg/yong-ge-cha-yin,https://images.deliveryhero.io/image/fd-tw/LH/a2fg-listing.jpg,(△) 雲林縣斗六市西平路262-1號 (食安登錄字號:P-147395588-00000-2),4.8,544
16,亞薩漢堡 (雲林中華店),https://www.foodpanda.com.tw/restaurant/n8gz/ya-sa-han-bao-yun-lin-zhong-hua-dian,https://images.deliveryhero.io/image/fd-tw/LH/n8gz-listing.jpg,(△)雲林縣斗六市中華路172號,4.8,232
17,世唯烘培坊,https://www.foodpanda.com.tw/chain/ce2ja/shi-wei-hong-pei-fang,https://images.deliveryhero.io/image/fd-tw/LH/h0sl-listing.jpg,(O)雲林縣斗六市民生路78-3號,5,9
18,五餅二魚小館,https://www.foodpanda.com.tw/restaurant/e6pu/wu-bing-er-yu-xiao-guan,https://images.deliveryhero.io/image/fd-tw/LH/e6pu-listing.jpg,(△) 雲林縣斗六市西平路145號,4.6,145
19,三商巧福 (Mercuries),https://www.foodpanda.com.tw/chain/ca8sh/san-shang-qiao-fu,https://images.deliveryhero.io/image/fd-tw/LH/o8ah-listing.jpg,46 光勳巷 Datong Township 267,4.7,271
20,巷弄美食,https://www.foodpanda.com.tw/restaurant/m7sx/xiang-nong-mei-shi,https://images.deliveryhero.io/image/fd-tw/LH/m7sx-listing.jpg,(△)雲林縣斗六市城頂街58-7號,4.5,107
21,大丸豚骨拉麵,https://www.foodpanda.com.tw/restaurant/r9qj/da-wan-tun-gu-la-mian,https://images.deliveryhero.io/image/fd-tw/LH/r9qj-listing.jpg,(△)雲林縣斗六市莊敬路202號,4.7,129
22,清涼冰之屋,https://www.foodpanda.com.tw/restaurant/g9nb/qing-liang-bing-zhi-wu,https://images.deliveryhero.io/image/fd-tw/LH/g9nb-listing.jpg,(△)雲林縣斗六市興北街41號,4.7,130
23,女月門精緻火鍋,https://www.foodpanda.com.tw/restaurant/c3wd/nu-yue-men-jing-zhi-huo-guo,https://images.deliveryhero.io/image/fd-tw/LH/c3wd-listing.jpg,(△)雲林縣斗六市文化路124-1號,4.2,50
24,狀元廣東粥,https://www.foodpanda.com.tw/restaurant/e0ll/zhuang-yuan-guang-dong-zhou,https://images.deliveryhero.io/image/fd-tw/LH/e0ll-listing.jpg,(△) 雲林縣斗六市雲林路二段100號,4.7,946
25,科大早餐車,https://www.foodpanda.com.tw/restaurant/b9ek/ke-da-zao-can-che,https://images.deliveryhero.io/image/fd-tw/LH/b9ek-listing.jpg,(△) 雲林縣斗六市龍潭路1-51號,4.7,388
26,Riverbird江鳥咖啡,https://www.foodpanda.com.tw/restaurant/a4qw/riverbird-,https://images.deliveryhero.io/image/fd-tw/LH/a4qw-listing.jpg,(△) 雲林縣斗六市中華路82號,4.7,240
27,好食堂懷舊麵館,https://www.foodpanda.com.tw/restaurant/b2fk/hao-shi-tang-huai-jiu-mian-guan,https://images.deliveryhero.io/image/fd-tw/LH/b2fk-listing.jpg,(△) 雲林縣斗六市中正路86號,4.5,269
28,轉角巷雞蛋糕,https://www.foodpanda.com.tw/restaurant/v8bu/zhuan-jiao-xiang-ji-dan-gao,https://images.deliveryhero.io/image/fd-tw/LH/v8bu-listing.jpg,(△)雲林縣斗六市公正街18之1號,4.8,18
29,一也豆乳雞 (雲林斗六店),https://www.foodpanda.com.tw/restaurant/f9os/ye-dou-ru-ji-yun-lin-dou-liu-dian,https://images.deliveryhero.io/image/fd-tw/LH/f9os-listing.jpg,(△)雲林縣斗六市中山路261號,4.6,584
30,好茶手調茶飲,https://www.foodpanda.com.tw/restaurant/a8we/hao-cha-shou-diao-cha-yin,https://images.deliveryhero.io/image/fd-tw/LH/a8we-listing.jpg,(△) 雲林縣斗六市中山路299號 (食安登錄字號:P-200037556-00000-0),4.8,1050
31,桃姐專業煲湯,https://www.foodpanda.com.tw/restaurant/p1un/tao-jie-zhuan-ye-bao-tang,https://images.deliveryhero.io/image/fd-tw/LH/p1un-listing.jpg,(△)雲林縣斗六市中堅東路130巷68號,4.6,529
32,拿坡里炸雞 (Mercuries),https://www.foodpanda.com.tw/chain/cm9on/na-po-li-zha-ji,https://images.deliveryhero.io/image/fd-tw/LH/cb0q-listing.jpg,(X)台北市文山區興隆路三段31號 食品安全登錄字號： F-197301707-00028-2,4.1,6
33,烏龍院 (斗六鎮北店),https://www.foodpanda.com.tw/restaurant/l3zq/wu-long-yuan-dou-liu-zhen-bei-dian,https://images.deliveryhero.io/image/fd-tw/LH/l3zq-listing.jpg,(△)雲林縣斗六市鎮北路175巷60號,4.4,109
34,妹仔古早味臭豆腐,https://www.foodpanda.com.tw/restaurant/g0cs/mei-zi-gu-zao-wei-chou-dou-fu,https://images.deliveryhero.io/image/fd-tw/LH/g0cs-listing.jpg,(△)雲林縣斗六市西平路439號,4.1,43
35,旺灶滷味,https://www.foodpanda.com.tw/restaurant/x0ac/wang-zao-lu-wei,https://images.deliveryhero.io/image/fd-tw/LH/x0ac-listing.jpg,(△)雲林縣斗六市田單街24號,4.5,196
36,吉購吉日式丼飯,https://www.foodpanda.com.tw/restaurant/l0hd/ji-gou-ji-ri-shi-jing-fan,https://images.deliveryhero.io/image/fd-tw/LH/l0hd-listing.jpg,(△)雲林縣斗六市龍潭路14-10號,4.6,284
37,花好月圓,https://www.foodpanda.com.tw/chain/cq5xu/hua-hao-yue-yuan,https://images.deliveryhero.io/image/fd-tw/LH/e0yi-listing.jpg,(O) 台南市南區金華路二段246號,4.6,303
38,喜樂牛排,https://www.foodpanda.com.tw/restaurant/g6qo/g6qo,https://images.deliveryhero.io/image/fd-tw/LH/g6qo-listing.jpg,(O)雲林縣斗六市太平路243之1號,4.6,216
39,久湯鍋 (雲林斗六店),https://www.foodpanda.com.tw/restaurant/a7iw/jiu-tang-guo-yun-lin-dou-liu-dian,https://images.deliveryhero.io/image/fd-tw/LH/a7iw-listing.jpg,(△) 雲林縣斗六市中山路428號,4.6,776
40,台北麵線/胖德關東煮,https://www.foodpanda.com.tw/restaurant/d0od/tai-bei-mian-xian-pang-de-guan-dong-zhu,https://images.deliveryhero.io/image/fd-tw/LH/d0od-listing.jpg,(△) 雲林縣斗六市鎮北路52號,4.4,144
41,小妹肉骨茶,https://www.foodpanda.com.tw/restaurant/e9do/xiao-mei-rou-gu-cha,https://images.deliveryhero.io/image/fd-tw/LH/e9do-listing.jpg,(△)雲林縣斗六市大同路447號,3.9,59
42,賴好茶飲.有夠漫雞蛋糕,https://www.foodpanda.com.tw/restaurant/p3om/lai-hao-cha-yin-you-gou-man-ji-dan-gao,https://images.deliveryhero.io/image/fd-tw/LH/p3om-listing.jpg,(△)雲林縣斗六市鎮北路55號,4.6,34
43,大塊貴麻辣大腸麵線,https://www.foodpanda.com.tw/restaurant/a4kk/da-kuai-gui-ma-la-da-chang-mian-xian,https://images.deliveryhero.io/image/fd-tw/LH/a4kk-listing.jpg,(△) 雲林縣斗六市雲林路一段101號,4.7,673
44,億品鍋,https://www.foodpanda.com.tw/chain/cq4ek/yi-pin-guo,https://images.deliveryhero.io/image/fd-tw/LH/b7pd-listing.jpg,(O) 台中市大里區成功二路136號,4.5,869
45,白巷子(斗六中山店),https://www.foodpanda.com.tw/restaurant/m7uu/bai-xiang-zi-dou-liu-zhong-shan-dian,https://images.deliveryhero.io/image/fd-tw/LH/m7uu-listing.jpg,(O)雲林縣斗六市中山路328-8號,4.8,395
